family,candidate_id,reference_type,cutoff,engine_id,segment_id,start_cycle,end_cycle,run_length,start_rul,end_rul,start_region,end_region,start_lead_cycles,end_lead_cycles,maximum_score_in_run,mean_score_in_run
iforest,iforest_n200_ms_0p5,pooled,0.9,1,0,28,28,1,164.0,164.0,healthy,healthy,164,164,0.9565934065934066,0.9565934065934066
iforest,iforest_n200_ms_0p5,pooled,0.9,1,0,108,108,1,84.0,84.0,middle,middle,84,84,0.921978021978022,0.921978021978022
iforest,iforest_n200_ms_0p5,pooled,0.9,1,0,132,132,1,60.0,60.0,middle,middle,60,60,0.965934065934066,0.965934065934066
iforest,iforest_n200_ms_0p5,pooled,0.9,1,0,139,139,1,53.0,53.0,middle,middle,53,53,0.9087912087912088,0.9087912087912088
iforest,iforest_n200_ms_0p5,pooled,0.9,1,0,141,142,2,51.0,50.0,middle,middle,51,50,0.9423076923076924,0.9403846153846154
iforest,iforest_n200_ms_0p5,pooled,0.9,1,0,145,145,1,47.0,47.0,middle,middle,47,47,0.95,0.95
iforest,iforest_n200_ms_0p5,pooled,0.9,1,0,149,192,44,43.0,0.0,middle,near_failure,43,0,1.0,0.996416083916084
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,4,5,2,265.0,264.0,healthy,healthy,265,264,0.9230769230769232,0.9126373626373627
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,7,7,1,262.0,262.0,healthy,healthy,262,262,0.9950549450549452,0.9950549450549452
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,10,10,1,259.0,259.0,healthy,healthy,259,259,0.9868131868131867,0.9868131868131867
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,12,13,2,257.0,256.0,healthy,healthy,257,256,0.9758241758241758,0.9640109890109889
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,16,16,1,253.0,253.0,healthy,healthy,253,253,0.9395604395604396,0.9395604395604396
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,23,23,1,246.0,246.0,healthy,healthy,246,246,0.9972527472527472,0.9972527472527472
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,27,27,1,242.0,242.0,healthy,healthy,242,242,0.9807692307692308,0.9807692307692308
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,29,30,2,240.0,239.0,healthy,healthy,240,239,0.9967032967032968,0.9898351648351649
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,34,34,1,235.0,235.0,healthy,healthy,235,235,0.9752747252747253,0.9752747252747253
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,41,41,1,228.0,228.0,healthy,healthy,228,228,0.9675824175824176,0.9675824175824176
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,45,45,1,224.0,224.0,healthy,healthy,224,224,0.931868131868132,0.931868131868132
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,47,48,2,222.0,221.0,healthy,healthy,222,221,0.956043956043956,0.9505494505494505
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,51,53,3,218.0,216.0,healthy,healthy,218,216,0.9807692307692308,0.9346153846153847
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,59,60,2,210.0,209.0,healthy,healthy,210,209,0.9730769230769232,0.9513736263736263
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,65,65,1,204.0,204.0,healthy,healthy,204,204,0.9868131868131867,0.9868131868131867
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,67,68,2,202.0,201.0,healthy,healthy,202,201,0.9752747252747253,0.9717032967032966
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,70,71,2,199.0,198.0,healthy,healthy,199,198,0.9923076923076924,0.95989010989011
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,74,75,2,195.0,194.0,healthy,healthy,195,194,0.9791208791208792,0.9642857142857143
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,78,78,1,191.0,191.0,healthy,healthy,191,191,0.9351648351648352,0.9351648351648352
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,85,87,3,184.0,182.0,healthy,healthy,184,182,0.9934065934065934,0.9560439560439561
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,92,92,1,177.0,177.0,healthy,healthy,177,177,0.9082417582417582,0.9082417582417582
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,97,97,1,172.0,172.0,healthy,healthy,172,172,0.932967032967033,0.932967032967033
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,100,100,1,169.0,169.0,healthy,healthy,169,169,0.9945054945054944,0.9945054945054944
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,103,103,1,166.0,166.0,healthy,healthy,166,166,0.9115384615384616,0.9115384615384616
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,113,113,1,156.0,156.0,healthy,healthy,156,156,0.937912087912088,0.937912087912088
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,123,123,1,146.0,146.0,healthy,healthy,146,146,0.984065934065934,0.984065934065934
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,129,129,1,140.0,140.0,healthy,healthy,140,140,0.921978021978022,0.921978021978022
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,131,131,1,138.0,138.0,healthy,healthy,138,138,0.9,0.9
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,136,137,2,133.0,132.0,healthy,healthy,133,132,0.9631868131868132,0.9368131868131868
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,140,141,2,129.0,128.0,healthy,healthy,129,128,0.943956043956044,0.9285714285714286
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,147,147,1,122.0,122.0,middle,middle,122,122,0.9752747252747253,0.9752747252747253
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,152,152,1,117.0,117.0,middle,middle,117,117,0.965934065934066,0.965934065934066
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,155,155,1,114.0,114.0,middle,middle,114,114,0.912087912087912,0.912087912087912
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,158,158,1,111.0,111.0,middle,middle,111,111,0.9730769230769232,0.9730769230769232
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,160,161,2,109.0,108.0,middle,middle,109,108,0.9868131868131867,0.9475274725274725
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,163,163,1,106.0,106.0,middle,middle,106,106,0.9648351648351648,0.9648351648351648
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,165,166,2,104.0,103.0,middle,middle,104,103,0.9615384615384616,0.9348901098901099
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,168,173,6,101.0,96.0,middle,middle,101,96,0.9912087912087912,0.966941391941392
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,175,177,3,94.0,92.0,middle,middle,94,92,0.9752747252747253,0.9622710622710623
iforest,iforest_n200_ms_0p5,pooled,0.9,5,0,180,269,90,89.0,0.0,middle,near_failure,89,0,1.0,0.992851037851038
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,2,2,1,220.0,220.0,healthy,healthy,220,220,0.939010989010989,0.939010989010989
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,5,5,1,217.0,217.0,healthy,healthy,217,217,0.9708791208791208,0.9708791208791208
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,13,13,1,209.0,209.0,healthy,healthy,209,209,0.9807692307692308,0.9807692307692308
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,16,16,1,206.0,206.0,healthy,healthy,206,206,0.99010989010989,0.99010989010989
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,19,19,1,203.0,203.0,healthy,healthy,203,203,0.934065934065934,0.934065934065934
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,26,26,1,196.0,196.0,healthy,healthy,196,196,0.965934065934066,0.965934065934066
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,28,29,2,194.0,193.0,healthy,healthy,194,193,0.965934065934066,0.9354395604395604
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,35,35,1,187.0,187.0,healthy,healthy,187,187,0.9571428571428572,0.9571428571428572
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,39,39,1,183.0,183.0,healthy,healthy,183,183,0.9582417582417584,0.9582417582417584
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,43,43,1,179.0,179.0,healthy,healthy,179,179,0.9945054945054944,0.9945054945054944
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,49,49,1,173.0,173.0,healthy,healthy,173,173,0.965934065934066,0.965934065934066
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,57,57,1,165.0,165.0,healthy,healthy,165,165,0.904945054945055,0.904945054945055
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,61,61,1,161.0,161.0,healthy,healthy,161,161,0.9675824175824176,0.9675824175824176
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,67,67,1,155.0,155.0,healthy,healthy,155,155,0.9928571428571428,0.9928571428571428
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,75,75,1,147.0,147.0,healthy,healthy,147,147,0.987912087912088,0.987912087912088
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,90,90,1,132.0,132.0,healthy,healthy,132,132,0.9686813186813188,0.9686813186813188
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,103,103,1,119.0,119.0,middle,middle,119,119,0.9576923076923076,0.9576923076923076
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,155,155,1,67.0,67.0,middle,middle,67,67,0.965934065934066,0.965934065934066
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,157,158,2,65.0,64.0,middle,middle,65,64,0.9928571428571428,0.9607142857142856
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,164,170,7,58.0,52.0,middle,middle,58,52,0.9846153846153848,0.9582417582417583
iforest,iforest_n200_ms_0p5,pooled,0.9,10,0,172,222,51,50.0,0.0,middle,near_failure,50,0,1.0,0.9958198664081016
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,2,2,1,238.0,238.0,healthy,healthy,238,238,0.9934065934065934,0.9934065934065934
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,4,4,1,236.0,236.0,healthy,healthy,236,236,0.9593406593406594,0.9593406593406594
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,9,9,1,231.0,231.0,healthy,healthy,231,231,0.9868131868131867,0.9868131868131867
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,13,14,2,227.0,226.0,healthy,healthy,227,226,0.9912087912087912,0.9785714285714286
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,20,20,1,220.0,220.0,healthy,healthy,220,220,0.965934065934066,0.965934065934066
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,25,25,1,215.0,215.0,healthy,healthy,215,215,0.968131868131868,0.968131868131868
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,28,28,1,212.0,212.0,healthy,healthy,212,212,0.9434065934065934,0.9434065934065934
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,30,30,1,210.0,210.0,healthy,healthy,210,210,0.9351648351648352,0.9351648351648352
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,35,35,1,205.0,205.0,healthy,healthy,205,205,0.9928571428571428,0.9928571428571428
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,39,39,1,201.0,201.0,healthy,healthy,201,201,0.9923076923076924,0.9923076923076924
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,43,43,1,197.0,197.0,healthy,healthy,197,197,0.9868131868131867,0.9868131868131867
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,50,50,1,190.0,190.0,healthy,healthy,190,190,0.9489010989010987,0.9489010989010987
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,113,113,1,127.0,127.0,healthy,healthy,127,127,0.9714285714285714,0.9714285714285714
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,157,157,1,83.0,83.0,middle,middle,83,83,0.917032967032967,0.917032967032967
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,159,159,1,81.0,81.0,middle,middle,81,81,0.99010989010989,0.99010989010989
iforest,iforest_n200_ms_0p5,pooled,0.9,11,0,168,240,73,72.0,0.0,middle,near_failure,72,0,1.0,0.988980882131567
iforest,iforest_n200_ms_0p5,pooled,0.9,13,0,49,49,1,114.0,114.0,middle,middle,114,114,0.951098901098901,0.951098901098901
iforest,iforest_n200_ms_0p5,pooled,0.9,13,0,67,67,1,96.0,96.0,middle,middle,96,96,0.9137362637362636,0.9137362637362636
iforest,iforest_n200_ms_0p5,pooled,0.9,13,0,87,87,1,76.0,76.0,middle,middle,76,76,0.9131868131868132,0.9131868131868132
iforest,iforest_n200_ms_0p5,pooled,0.9,13,0,92,92,1,71.0,71.0,middle,middle,71,71,0.9752747252747253,0.9752747252747253
iforest,iforest_n200_ms_0p5,pooled,0.9,13,0,95,95,1,68.0,68.0,middle,middle,68,68,0.9829670329670328,0.9829670329670328
iforest,iforest_n200_ms_0p5,pooled,0.9,13,0,98,99,2,65.0,64.0,middle,middle,65,64,0.965934065934066,0.9398351648351648
iforest,iforest_n200_ms_0p5,pooled,0.9,13,0,101,101,1,62.0,62.0,middle,middle,62,62,0.9835164835164836,0.9835164835164836
iforest,iforest_n200_ms_0p5,pooled,0.9,13,0,103,163,61,60.0,0.0,middle,near_failure,60,0,1.0,0.9965051342100523
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,4,5,2,205.0,204.0,healthy,healthy,205,204,0.931868131868132,0.9293956043956044
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,7,7,1,202.0,202.0,healthy,healthy,202,202,0.971978021978022,0.971978021978022
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,14,14,1,195.0,195.0,healthy,healthy,195,195,0.9428571428571428,0.9428571428571428
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,17,17,1,192.0,192.0,healthy,healthy,192,192,0.9307692307692308,0.9307692307692308
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,22,22,1,187.0,187.0,healthy,healthy,187,187,0.9186813186813186,0.9186813186813186
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,28,28,1,181.0,181.0,healthy,healthy,181,181,0.9868131868131867,0.9868131868131867
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,35,35,1,174.0,174.0,healthy,healthy,174,174,0.9351648351648352,0.9351648351648352
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,41,43,3,168.0,166.0,healthy,healthy,168,166,0.9851648351648352,0.9575091575091575
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,46,47,2,163.0,162.0,healthy,healthy,163,162,0.9456043956043956,0.9313186813186813
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,49,50,2,160.0,159.0,healthy,healthy,160,159,0.9675824175824176,0.9412087912087912
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,53,53,1,156.0,156.0,healthy,healthy,156,156,0.9571428571428572,0.9571428571428572
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,55,56,2,154.0,153.0,healthy,healthy,154,153,0.9807692307692308,0.9631868131868132
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,59,59,1,150.0,150.0,healthy,healthy,150,150,0.9148351648351648,0.9148351648351648
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,62,63,2,147.0,146.0,healthy,healthy,147,146,0.9923076923076924,0.9791208791208792
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,70,71,2,139.0,138.0,healthy,healthy,139,138,0.9829670329670328,0.9777472527472526
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,73,73,1,136.0,136.0,healthy,healthy,136,136,0.9923076923076924,0.9923076923076924
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,75,75,1,134.0,134.0,healthy,healthy,134,134,0.9186813186813186,0.9186813186813186
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,78,78,1,131.0,131.0,healthy,healthy,131,131,0.9923076923076924,0.9923076923076924
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,80,81,2,129.0,128.0,healthy,healthy,129,128,0.965934065934066,0.9505494505494506
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,83,83,1,126.0,126.0,healthy,healthy,126,126,0.9967032967032968,0.9967032967032968
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,87,89,3,122.0,120.0,middle,middle,122,120,0.9928571428571428,0.9560439560439561
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,91,91,1,118.0,118.0,middle,middle,118,118,0.9989010989010988,0.9989010989010988
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,93,95,3,116.0,114.0,middle,middle,116,114,0.9791208791208792,0.9767399267399268
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,97,112,16,112.0,97.0,middle,middle,112,97,0.9994505494505496,0.9808722527472528
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,116,118,3,93.0,91.0,middle,middle,93,91,1.0,0.9882783882783883
iforest,iforest_n200_ms_0p5,pooled,0.9,16,0,120,209,90,89.0,0.0,middle,near_failure,89,0,1.0,0.9981074481074482
iforest,iforest_n200_ms_0p5,pooled,0.9,27,0,24,24,1,132.0,132.0,healthy,healthy,132,132,0.934065934065934,0.934065934065934
iforest,iforest_n200_ms_0p5,pooled,0.9,27,0,52,52,1,104.0,104.0,middle,middle,104,104,0.9846153846153848,0.9846153846153848
iforest,iforest_n200_ms_0p5,pooled,0.9,27,0,80,80,1,76.0,76.0,middle,middle,76,76,0.9752747252747253,0.9752747252747253
iforest,iforest_n200_ms_0p5,pooled,0.9,27,0,83,85,3,73.0,71.0,middle,middle,73,71,0.9593406593406594,0.9386446886446885
iforest,iforest_n200_ms_0p5,pooled,0.9,27,0,87,100,14,69.0,56.0,middle,middle,69,56,0.9967032967032968,0.959026687598116
iforest,iforest_n200_ms_0p5,pooled,0.9,27,0,102,156,55,54.0,0.0,middle,near_failure,54,0,1.0,0.9962737262737262
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,4,4,1,230.0,230.0,healthy,healthy,230,230,0.9346153846153846,0.9346153846153846
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,10,10,1,224.0,224.0,healthy,healthy,224,224,0.945054945054945,0.945054945054945
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,18,18,1,216.0,216.0,healthy,healthy,216,216,0.9428571428571428,0.9428571428571428
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,26,26,1,208.0,208.0,healthy,healthy,208,208,0.903846153846154,0.903846153846154
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,29,29,1,205.0,205.0,healthy,healthy,205,205,0.9884615384615384,0.9884615384615384
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,32,32,1,202.0,202.0,healthy,healthy,202,202,0.971978021978022,0.971978021978022
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,40,41,2,194.0,193.0,healthy,healthy,194,193,0.9752747252747253,0.9596153846153846
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,47,48,2,187.0,186.0,healthy,healthy,187,186,0.9675824175824176,0.9637362637362639
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,50,50,1,184.0,184.0,healthy,healthy,184,184,0.9686813186813188,0.9686813186813188
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,52,52,1,182.0,182.0,healthy,healthy,182,182,0.921978021978022,0.921978021978022
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,61,61,1,173.0,173.0,healthy,healthy,173,173,0.9247252747252748,0.9247252747252748
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,64,64,1,170.0,170.0,healthy,healthy,170,170,0.9505494505494504,0.9505494505494504
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,71,71,1,163.0,163.0,healthy,healthy,163,163,0.9313186813186812,0.9313186813186812
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,82,82,1,152.0,152.0,healthy,healthy,152,152,0.9763736263736263,0.9763736263736263
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,101,101,1,133.0,133.0,healthy,healthy,133,133,0.9686813186813188,0.9686813186813188
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,105,105,1,129.0,129.0,healthy,healthy,129,129,0.9582417582417584,0.9582417582417584
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,129,130,2,105.0,104.0,middle,middle,105,104,0.9703296703296704,0.9541208791208793
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,135,135,1,99.0,99.0,middle,middle,99,99,0.968131868131868,0.968131868131868
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,151,151,1,83.0,83.0,middle,middle,83,83,0.9802197802197802,0.9802197802197802
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,167,167,1,67.0,67.0,middle,middle,67,67,0.9829670329670328,0.9829670329670328
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,176,176,1,58.0,58.0,middle,middle,58,58,0.910989010989011,0.910989010989011
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,179,179,1,55.0,55.0,middle,middle,55,55,0.945054945054945,0.945054945054945
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,181,181,1,53.0,53.0,middle,middle,53,53,0.917032967032967,0.917032967032967
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,185,185,1,49.0,49.0,middle,middle,49,49,0.9703296703296704,0.9703296703296704
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,188,190,3,46.0,44.0,middle,middle,46,44,0.9923076923076924,0.9727106227106228
iforest,iforest_n200_ms_0p5,pooled,0.9,31,0,194,234,41,40.0,0.0,middle,near_failure,40,0,1.0,0.9989145001340122
iforest,iforest_n200_ms_0p5,pooled,0.9,34,0,25,26,2,170.0,169.0,healthy,healthy,170,169,0.9351648351648352,0.9230769230769231
iforest,iforest_n200_ms_0p5,pooled,0.9,34,0,49,49,1,146.0,146.0,healthy,healthy,146,146,0.9637362637362638,0.9637362637362638
iforest,iforest_n200_ms_0p5,pooled,0.9,34,0,80,80,1,115.0,115.0,middle,middle,115,115,0.9076923076923076,0.9076923076923076
iforest,iforest_n200_ms_0p5,pooled,0.9,34,0,83,83,1,112.0,112.0,middle,middle,112,112,0.9010989010989012,0.9010989010989012
iforest,iforest_n200_ms_0p5,pooled,0.9,34,0,93,93,1,102.0,102.0,middle,middle,102,102,0.9923076923076924,0.9923076923076924
