family,candidate_id,reference_type,cutoff,n_engines,total_runs,healthy_start_runs,middle_start_runs,near_failure_start_runs,median_engine_max_run,maximum_run_length,engines_with_run_ge_2,engines_with_run_ge_3,engines_with_run_ge_5,engines_with_run_ge_10
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,20,321,153,167,1,56.0,91,20,20,20,20
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,20,247,95,151,1,52.5,82,20,20,20,20
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,20,191,62,128,1,51.0,82,20,20,20,20
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,20,138,22,114,2,43.0,58,20,20,20,20
iforest,iforest_n200_ms_0p5,pooled,0.9,20,349,174,175,0,58.0,91,20,20,20,20
iforest,iforest_n200_ms_0p5,pooled,0.95,20,275,116,158,1,56.0,83,20,20,20,20
iforest,iforest_n200_ms_0p5,pooled,0.975,20,205,68,136,1,51.0,82,20,20,20,20
iforest,iforest_n200_ms_0p5,pooled,0.99,20,157,36,120,1,43.5,82,20,20,20,20
lof,lof_k50,engine_balanced,0.9,20,374,157,215,2,55.0,95,20,20,20,20
lof,lof_k50,engine_balanced,0.95,20,252,68,178,6,48.5,95,20,20,20,20
lof,lof_k50,engine_balanced,0.975,20,211,38,166,7,44.0,90,20,20,20,20
lof,lof_k50,engine_balanced,0.99,20,144,11,124,9,40.0,90,20,20,20,20
lof,lof_k50,pooled,0.9,20,375,158,215,2,55.0,95,20,20,20,20
lof,lof_k50,pooled,0.95,20,264,76,182,6,48.5,95,20,20,20,20
lof,lof_k50,pooled,0.975,20,216,40,169,7,44.0,90,20,20,20,20
lof,lof_k50,pooled,0.99,20,156,16,131,9,40.0,90,20,20,20,20
ocsvm,ocsvm_nu0p05_gamma_0p01,engine_balanced,0.9,20,290,127,163,0,58.0,93,20,20,20,20
ocsvm,ocsvm_nu0p05_gamma_0p01,engine_balanced,0.95,20,227,79,147,1,55.5,90,20,20,20,20
ocsvm,ocsvm_nu0p05_gamma_0p01,engine_balanced,0.975,20,159,41,117,1,46.5,82,20,20,20,20
ocsvm,ocsvm_nu0p05_gamma_0p01,engine_balanced,0.99,20,126,14,111,1,46.5,82,20,20,20,20
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.9,20,329,161,168,0,60.0,95,20,20,20,20
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.95,20,263,107,156,0,55.5,90,20,20,20,20
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.975,20,205,58,146,1,51.0,83,20,20,20,20
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.99,20,148,31,116,1,46.5,82,20,20,20,20
pca,pca_evr0p95,engine_balanced,0.9,20,400,141,183,76,3.0,18,19,11,9,7
pca,pca_evr0p95,engine_balanced,0.95,20,264,83,111,70,2.0,17,16,9,9,3
pca,pca_evr0p95,engine_balanced,0.975,20,170,41,61,68,2.0,17,12,9,6,1
pca,pca_evr0p95,engine_balanced,0.99,20,137,31,44,62,1.5,17,10,9,6,1
pca,pca_evr0p95,pooled,0.9,20,431,151,203,77,3.0,18,19,13,9,7
pca,pca_evr0p95,pooled,0.95,20,286,92,124,70,2.0,17,17,9,9,5
pca,pca_evr0p95,pooled,0.975,20,170,41,61,68,2.0,17,12,9,6,1
pca,pca_evr0p95,pooled,0.99,20,107,19,30,58,1.5,17,10,9,5,1
