family,candidate_id,reference_type,cutoff,engine_id,n_rows,total_crossings,crossing_fraction,healthy_crossings,healthy_crossing_rate,middle_crossings,near_failure_crossings,first_raw_crossing_cycle,first_raw_crossing_rul,first_raw_crossing_region,raw_crossing_lead_cycles,has_any_crossing,has_healthy_crossing
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,1,192,49,0.2552083333333333,1,0.015151515151515152,17,31,28.0,164.0,healthy,164.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,5,269,135,0.5018587360594795,32,0.22377622377622378,72,31,7.0,262.0,healthy,262.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,10,222,75,0.33783783783783783,15,0.15625,29,31,2.0,220.0,healthy,220.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,11,240,85,0.3541666666666667,14,0.12280701754385964,40,31,2.0,238.0,healthy,238.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,13,163,66,0.4049079754601227,0,0.0,35,31,49.0,114.0,middle,114.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,16,209,138,0.6602870813397129,23,0.27710843373493976,84,31,4.0,205.0,healthy,205.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,27,156,71,0.4551282051282051,1,0.03333333333333333,39,31,24.0,132.0,healthy,132.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,31,234,66,0.28205128205128205,15,0.1388888888888889,20,31,4.0,230.0,healthy,230.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,34,195,86,0.441025641025641,2,0.028985507246376812,53,31,25.0,170.0,healthy,170.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,40,188,121,0.6436170212765957,11,0.1774193548387097,79,31,22.0,166.0,healthy,166.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,41,216,87,0.4027777777777778,7,0.07777777777777778,49,31,16.0,200.0,healthy,200.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,45,158,82,0.5189873417721519,10,0.3125,41,31,4.0,154.0,healthy,154.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,46,256,62,0.2421875,9,0.06923076923076923,22,31,1.0,255.0,healthy,255.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,54,257,101,0.39299610894941633,9,0.06870229007633588,61,31,6.0,251.0,healthy,251.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,74,166,42,0.25301204819277107,2,0.05,9,31,19.0,147.0,healthy,147.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,77,154,63,0.4090909090909091,1,0.03571428571428571,31,31,23.0,131.0,healthy,131.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,78,231,82,0.354978354978355,25,0.23809523809523808,26,31,1.0,230.0,healthy,230.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,81,240,88,0.36666666666666664,1,0.008771929824561403,56,31,84.0,156.0,healthy,156.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,89,217,55,0.2534562211981567,5,0.054945054945054944,19,31,1.0,216.0,healthy,216.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,91,135,98,0.725925925925926,3,0.3333333333333333,64,31,6.0,129.0,healthy,129.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,1,192,45,0.234375,0,0.0,14,31,132.0,60.0,middle,60.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,5,269,114,0.42379182156133827,19,0.13286713286713286,64,31,7.0,262.0,healthy,262.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,10,222,65,0.2927927927927928,11,0.11458333333333333,23,31,5.0,217.0,healthy,217.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,11,240,77,0.32083333333333336,10,0.08771929824561403,36,31,2.0,238.0,healthy,238.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,13,163,63,0.38650306748466257,0,0.0,32,31,92.0,71.0,middle,71.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,16,209,123,0.5885167464114832,13,0.1566265060240964,79,31,7.0,202.0,healthy,202.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,27,156,63,0.40384615384615385,0,0.0,32,31,52.0,104.0,middle,104.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,31,234,55,0.23504273504273504,7,0.06481481481481481,17,31,29.0,205.0,healthy,205.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,34,195,76,0.38974358974358975,0,0.0,45,31,93.0,102.0,middle,102.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,40,188,103,0.5478723404255319,4,0.06451612903225806,68,31,26.0,162.0,healthy,162.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,41,216,83,0.38425925925925924,4,0.044444444444444446,48,31,16.0,200.0,healthy,200.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,45,158,60,0.379746835443038,4,0.125,25,31,9.0,149.0,healthy,149.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,46,256,55,0.21484375,6,0.046153846153846156,18,31,1.0,255.0,healthy,255.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,54,257,87,0.33852140077821014,5,0.03816793893129771,51,31,6.0,251.0,healthy,251.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,74,166,38,0.2289156626506024,1,0.025,6,31,26.0,140.0,healthy,140.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,77,154,55,0.35714285714285715,1,0.03571428571428571,23,31,23.0,131.0,healthy,131.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,78,231,69,0.2987012987012987,19,0.18095238095238095,19,31,1.0,230.0,healthy,230.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,81,240,74,0.30833333333333335,1,0.008771929824561403,42,31,84.0,156.0,healthy,156.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,89,217,49,0.22580645161290322,4,0.04395604395604396,14,31,1.0,216.0,healthy,216.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,91,135,84,0.6222222222222222,2,0.2222222222222222,51,31,6.0,129.0,healthy,129.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,1,192,42,0.21875,0,0.0,11,31,149.0,43.0,middle,43.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,5,269,96,0.35687732342007433,13,0.09090909090909091,52,31,7.0,262.0,healthy,262.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,10,222,56,0.25225225225225223,5,0.052083333333333336,20,31,13.0,209.0,healthy,209.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,11,240,65,0.2708333333333333,6,0.05263157894736842,28,31,2.0,238.0,healthy,238.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,13,163,60,0.36809815950920244,0,0.0,29,31,95.0,68.0,middle,68.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,16,209,111,0.5311004784688995,8,0.0963855421686747,72,31,28.0,181.0,healthy,181.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,27,156,59,0.3782051282051282,0,0.0,28,31,52.0,104.0,middle,104.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,31,234,45,0.19230769230769232,1,0.009259259259259259,13,31,29.0,205.0,healthy,205.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,34,195,71,0.3641025641025641,0,0.0,40,31,93.0,102.0,middle,102.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,40,188,94,0.5,1,0.016129032258064516,62,31,39.0,149.0,healthy,149.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,41,216,77,0.35648148148148145,3,0.03333333333333333,43,31,16.0,200.0,healthy,200.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,45,158,51,0.3227848101265823,4,0.125,16,31,9.0,149.0,healthy,149.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,46,256,52,0.203125,5,0.038461538461538464,16,31,31.0,225.0,healthy,225.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,54,257,75,0.2918287937743191,2,0.015267175572519083,42,31,24.0,233.0,healthy,233.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,74,166,36,0.21686746987951808,1,0.025,4,31,26.0,140.0,healthy,140.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,77,154,52,0.33766233766233766,1,0.03571428571428571,20,31,23.0,131.0,healthy,131.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,78,231,59,0.2554112554112554,13,0.12380952380952381,15,31,1.0,230.0,healthy,230.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,81,240,73,0.30416666666666664,1,0.008771929824561403,41,31,84.0,156.0,healthy,156.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,89,217,47,0.21658986175115208,3,0.03296703296703297,13,31,1.0,216.0,healthy,216.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,91,135,73,0.5407407407407407,1,0.1111111111111111,41,31,6.0,129.0,healthy,129.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,1,192,38,0.19791666666666666,0,0.0,7,31,150.0,42.0,middle,42.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,5,269,72,0.26765799256505574,5,0.03496503496503497,36,31,7.0,262.0,healthy,262.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,10,222,47,0.21171171171171171,2,0.020833333333333332,14,31,43.0,179.0,healthy,179.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,11,240,54,0.225,2,0.017543859649122806,21,31,2.0,238.0,healthy,238.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,13,163,53,0.32515337423312884,0,0.0,22,31,106.0,57.0,middle,57.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,16,209,98,0.4688995215311005,1,0.012048192771084338,66,31,83.0,126.0,healthy,126.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,27,156,53,0.33974358974358976,0,0.0,22,31,96.0,60.0,middle,60.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,31,234,38,0.1623931623931624,0,0.0,7,31,197.0,37.0,middle,37.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,34,195,67,0.3435897435897436,0,0.0,36,31,123.0,72.0,middle,72.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,40,188,79,0.42021276595744683,0,0.0,48,31,87.0,101.0,middle,101.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,41,216,60,0.2777777777777778,2,0.022222222222222223,27,31,35.0,181.0,healthy,181.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,45,158,41,0.25949367088607594,1,0.03125,9,31,9.0,149.0,healthy,149.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,46,256,43,0.16796875,1,0.007692307692307693,11,31,84.0,172.0,healthy,172.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,54,257,64,0.2490272373540856,0,0.0,33,31,174.0,83.0,middle,83.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,74,166,33,0.19879518072289157,0,0.0,2,31,128.0,38.0,middle,38.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,77,154,44,0.2857142857142857,1,0.03571428571428571,12,31,23.0,131.0,healthy,131.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,78,231,47,0.20346320346320346,7,0.06666666666666667,9,31,2.0,229.0,healthy,229.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,81,240,64,0.26666666666666666,0,0.0,33,31,168.0,72.0,middle,72.0,True,False
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,89,217,42,0.1935483870967742,2,0.02197802197802198,9,31,4.0,213.0,healthy,213.0,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,91,135,65,0.48148148148148145,0,0.0,34,31,42.0,93.0,middle,93.0,True,False
lof,lof_k50,engine_balanced,0.9,1,192,56,0.2916666666666667,9,0.13636363636363635,16,31,4.0,188.0,healthy,188.0,True,True
lof,lof_k50,engine_balanced,0.9,5,269,135,0.5018587360594795,21,0.14685314685314685,83,31,16.0,253.0,healthy,253.0,True,True
lof,lof_k50,engine_balanced,0.9,10,222,71,0.31981981981981983,7,0.07291666666666667,33,31,15.0,207.0,healthy,207.0,True,True
lof,lof_k50,engine_balanced,0.9,11,240,88,0.36666666666666664,6,0.05263157894736842,51,31,3.0,237.0,healthy,237.0,True,True
lof,lof_k50,engine_balanced,0.9,13,163,72,0.44171779141104295,2,0.05405405405405406,39,31,5.0,158.0,healthy,158.0,True,True
lof,lof_k50,engine_balanced,0.9,16,209,120,0.5741626794258373,14,0.1686746987951807,75,31,7.0,202.0,healthy,202.0,True,True
lof,lof_k50,engine_balanced,0.9,27,156,80,0.5128205128205128,2,0.06666666666666667,47,31,11.0,145.0,healthy,145.0,True,True
lof,lof_k50,engine_balanced,0.9,31,234,58,0.24786324786324787,7,0.06481481481481481,20,31,4.0,230.0,healthy,230.0,True,True
lof,lof_k50,engine_balanced,0.9,34,195,96,0.49230769230769234,9,0.13043478260869565,56,31,2.0,193.0,healthy,193.0,True,True
lof,lof_k50,engine_balanced,0.9,40,188,107,0.5691489361702128,9,0.14516129032258066,67,31,19.0,169.0,healthy,169.0,True,True
lof,lof_k50,engine_balanced,0.9,41,216,106,0.49074074074074076,10,0.1111111111111111,65,31,4.0,212.0,healthy,212.0,True,True
lof,lof_k50,engine_balanced,0.9,45,158,83,0.5253164556962026,5,0.15625,47,31,7.0,151.0,healthy,151.0,True,True
lof,lof_k50,engine_balanced,0.9,46,256,64,0.25,12,0.09230769230769231,21,31,2.0,254.0,healthy,254.0,True,True
lof,lof_k50,engine_balanced,0.9,54,257,111,0.43190661478599224,10,0.07633587786259542,70,31,5.0,252.0,healthy,252.0,True,True
lof,lof_k50,engine_balanced,0.9,74,166,50,0.30120481927710846,3,0.075,16,31,7.0,159.0,healthy,159.0,True,True
lof,lof_k50,engine_balanced,0.9,77,154,55,0.35714285714285715,3,0.10714285714285714,21,31,7.0,147.0,healthy,147.0,True,True
lof,lof_k50,engine_balanced,0.9,78,231,69,0.2987012987012987,13,0.12380952380952381,25,31,1.0,230.0,healthy,230.0,True,True
lof,lof_k50,engine_balanced,0.9,81,240,92,0.38333333333333336,12,0.10526315789473684,49,31,5.0,235.0,healthy,235.0,True,True
lof,lof_k50,engine_balanced,0.9,89,217,66,0.30414746543778803,16,0.17582417582417584,19,31,3.0,214.0,healthy,214.0,True,True
lof,lof_k50,engine_balanced,0.9,91,135,78,0.5777777777777777,3,0.3333333333333333,44,31,6.0,129.0,healthy,129.0,True,True
lof,lof_k50,engine_balanced,0.95,1,192,41,0.21354166666666666,3,0.045454545454545456,7,31,10.0,182.0,healthy,182.0,True,True
lof,lof_k50,engine_balanced,0.95,5,269,115,0.4275092936802974,8,0.055944055944055944,76,31,48.0,221.0,healthy,221.0,True,True
lof,lof_k50,engine_balanced,0.95,10,222,63,0.28378378378378377,4,0.041666666666666664,28,31,15.0,207.0,healthy,207.0,True,True
lof,lof_k50,engine_balanced,0.95,11,240,78,0.325,2,0.017543859649122806,45,31,25.0,215.0,healthy,215.0,True,True
lof,lof_k50,engine_balanced,0.95,13,163,62,0.3803680981595092,1,0.02702702702702703,30,31,5.0,158.0,healthy,158.0,True,True
lof,lof_k50,engine_balanced,0.95,16,209,99,0.47368421052631576,7,0.08433734939759036,61,31,7.0,202.0,healthy,202.0,True,True
lof,lof_k50,engine_balanced,0.95,27,156,68,0.4358974358974359,1,0.03333333333333333,36,31,24.0,132.0,healthy,132.0,True,True
lof,lof_k50,engine_balanced,0.95,31,234,48,0.20512820512820512,5,0.046296296296296294,12,31,10.0,224.0,healthy,224.0,True,True
lof,lof_k50,engine_balanced,0.95,34,195,82,0.4205128205128205,3,0.043478260869565216,48,31,12.0,183.0,healthy,183.0,True,True
lof,lof_k50,engine_balanced,0.95,40,188,91,0.48404255319148937,2,0.03225806451612903,58,31,26.0,162.0,healthy,162.0,True,True
lof,lof_k50,engine_balanced,0.95,41,216,92,0.42592592592592593,5,0.05555555555555555,56,31,6.0,210.0,healthy,210.0,True,True
lof,lof_k50,engine_balanced,0.95,45,158,69,0.43670886075949367,2,0.0625,36,31,31.0,127.0,healthy,127.0,True,True
lof,lof_k50,engine_balanced,0.95,46,256,49,0.19140625,4,0.03076923076923077,15,30,64.0,192.0,healthy,192.0,True,True
lof,lof_k50,engine_balanced,0.95,54,257,97,0.377431906614786,3,0.022900763358778626,63,31,35.0,222.0,healthy,222.0,True,True
lof,lof_k50,engine_balanced,0.95,74,166,38,0.2289156626506024,0,0.0,10,28,51.0,115.0,middle,115.0,True,False
lof,lof_k50,engine_balanced,0.95,77,154,48,0.3116883116883117,1,0.03571428571428571,16,31,23.0,131.0,healthy,131.0,True,True
lof,lof_k50,engine_balanced,0.95,78,231,57,0.24675324675324675,6,0.05714285714285714,20,31,5.0,226.0,healthy,226.0,True,True
lof,lof_k50,engine_balanced,0.95,81,240,78,0.325,6,0.05263157894736842,41,31,5.0,235.0,healthy,235.0,True,True
lof,lof_k50,engine_balanced,0.95,89,217,51,0.2350230414746544,8,0.08791208791208792,12,31,3.0,214.0,healthy,214.0,True,True
lof,lof_k50,engine_balanced,0.95,91,135,66,0.4888888888888889,1,0.1111111111111111,34,31,7.0,128.0,healthy,128.0,True,True
lof,lof_k50,engine_balanced,0.975,1,192,37,0.19270833333333334,2,0.030303030303030304,4,31,28.0,164.0,healthy,164.0,True,True
lof,lof_k50,engine_balanced,0.975,5,269,108,0.40148698884758366,5,0.03496503496503497,72,31,74.0,195.0,healthy,195.0,True,True
lof,lof_k50,engine_balanced,0.975,10,222,57,0.25675675675675674,0,0.0,26,31,103.0,119.0,middle,119.0,True,False
lof,lof_k50,engine_balanced,0.975,11,240,72,0.3,2,0.017543859649122806,39,31,25.0,215.0,healthy,215.0,True,True
lof,lof_k50,engine_balanced,0.975,13,163,60,0.36809815950920244,1,0.02702702702702703,28,31,5.0,158.0,healthy,158.0,True,True
lof,lof_k50,engine_balanced,0.975,16,209,92,0.44019138755980863,6,0.07228915662650602,55,31,7.0,202.0,healthy,202.0,True,True
lof,lof_k50,engine_balanced,0.975,27,156,64,0.41025641025641024,0,0.0,33,31,52.0,104.0,middle,104.0,True,False
lof,lof_k50,engine_balanced,0.975,31,234,45,0.19230769230769232,4,0.037037037037037035,10,31,10.0,224.0,healthy,224.0,True,True
lof,lof_k50,engine_balanced,0.975,34,195,76,0.38974358974358975,1,0.014492753623188406,44,31,25.0,170.0,healthy,170.0,True,True
lof,lof_k50,engine_balanced,0.975,40,188,86,0.4574468085106383,1,0.016129032258064516,54,31,39.0,149.0,healthy,149.0,True,True
lof,lof_k50,engine_balanced,0.975,41,216,86,0.39814814814814814,3,0.03333333333333333,52,31,68.0,148.0,healthy,148.0,True,True
lof,lof_k50,engine_balanced,0.975,45,158,62,0.3924050632911392,0,0.0,31,31,45.0,113.0,middle,113.0,True,False
lof,lof_k50,engine_balanced,0.975,46,256,47,0.18359375,4,0.03076923076923077,13,30,64.0,192.0,healthy,192.0,True,True
lof,lof_k50,engine_balanced,0.975,54,257,91,0.3540856031128405,1,0.007633587786259542,59,31,41.0,216.0,healthy,216.0,True,True
lof,lof_k50,engine_balanced,0.975,74,166,32,0.1927710843373494,0,0.0,4,28,51.0,115.0,middle,115.0,True,False
lof,lof_k50,engine_balanced,0.975,77,154,44,0.2857142857142857,1,0.03571428571428571,13,30,23.0,131.0,healthy,131.0,True,True
lof,lof_k50,engine_balanced,0.975,78,231,50,0.21645021645021645,2,0.01904761904761905,17,31,37.0,194.0,healthy,194.0,True,True
lof,lof_k50,engine_balanced,0.975,81,240,66,0.275,2,0.017543859649122806,33,31,41.0,199.0,healthy,199.0,True,True
lof,lof_k50,engine_balanced,0.975,89,217,45,0.2073732718894009,3,0.03296703296703297,11,31,17.0,200.0,healthy,200.0,True,True
lof,lof_k50,engine_balanced,0.975,91,135,59,0.43703703703703706,1,0.1111111111111111,27,31,7.0,128.0,healthy,128.0,True,True
lof,lof_k50,engine_balanced,0.99,1,192,34,0.17708333333333334,0,0.0,3,31,152.0,40.0,middle,40.0,True,False
lof,lof_k50,engine_balanced,0.99,5,269,100,0.37174721189591076,0,0.0,69,31,152.0,117.0,middle,117.0,True,False
lof,lof_k50,engine_balanced,0.99,10,222,52,0.23423423423423423,0,0.0,21,31,103.0,119.0,middle,119.0,True,False
lof,lof_k50,engine_balanced,0.99,11,240,64,0.26666666666666666,2,0.017543859649122806,31,31,25.0,215.0,healthy,215.0,True,True
lof,lof_k50,engine_balanced,0.99,13,163,56,0.34355828220858897,0,0.0,25,31,92.0,71.0,middle,71.0,True,False
lof,lof_k50,engine_balanced,0.99,16,209,78,0.37320574162679426,2,0.024096385542168676,45,31,7.0,202.0,healthy,202.0,True,True
