family,candidate_id,reference_type,cutoff,engine_id,n_segments,n_runs,healthy_start_runs,middle_start_runs,near_failure_start_runs,max_run_length,has_run_ge_2,has_run_ge_3,has_run_ge_5,has_run_ge_10
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,7,1,6,0,44,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,5,1,40,30,10,0,90,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,10,1,21,16,5,0,51,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,11,1,16,13,3,0,73,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,13,1,8,0,8,0,61,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,16,1,26,20,6,0,90,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,27,1,6,1,5,0,55,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,31,1,26,16,10,0,41,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,34,1,11,2,9,0,76,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,40,1,19,11,8,0,91,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,41,1,16,7,9,0,74,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,45,1,29,9,20,0,43,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,46,1,17,11,6,0,50,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,54,1,21,11,10,0,68,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,74,1,7,2,5,0,37,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,77,1,16,1,15,0,42,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,78,1,25,16,9,0,52,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,81,1,12,1,11,0,66,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,89,1,13,5,8,0,43,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.9,91,1,13,1,12,0,73,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.95,1,1,4,1,3,0,44,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.95,5,1,30,19,11,0,83,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.95,10,1,22,13,9,0,43,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.95,11,1,14,10,4,0,64,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.95,13,1,6,0,6,0,61,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.95,16,1,20,12,8,0,82,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.95,27,1,6,0,6,0,51,True,True,True,True
iforest,iforest_n200_ms_0p5,pooled,0.95,31,1,16,9,7,0,41,True,True,True,True
