family,candidate_id,reference_type,cutoff,total_rows,total_crossings,overall_crossing_rate,healthy_rows,healthy_crossings,healthy_crossing_rate,healthy_engines_with_crossing,middle_rows,middle_crossings,middle_crossing_rate,middle_engines_with_crossing,near_failure_rows,near_failure_crossings,near_failure_crossing_rate,near_failure_engines_with_crossing
iforest,iforest_n200_ms_0p5,engine_balanced,0.9,4098,1652,0.4031234748657882,1578,186,0.11787072243346007,19,1900,846,0.44526315789473686,20,620,620,1.0,20
iforest,iforest_n200_ms_0p5,engine_balanced,0.95,4098,1438,0.3509028794533919,1578,111,0.07034220532319392,16,1900,707,0.3721052631578947,20,620,620,1.0,20
iforest,iforest_n200_ms_0p5,engine_balanced,0.975,4098,1294,0.31576378721327475,1578,68,0.043092522179974654,16,1900,606,0.31894736842105265,20,620,620,1.0,20
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,4098,1102,0.2689116642264519,1578,24,0.015209125475285171,10,1900,458,0.24105263157894738,20,620,620,1.0,20
lof,lof_k50,engine_balanced,0.9,4098,1657,0.4043435822352367,1578,173,0.10963244613434728,20,1900,864,0.45473684210526316,20,620,620,1.0,20
lof,lof_k50,engine_balanced,0.95,4098,1392,0.3396778916544656,1578,72,0.045627376425855515,19,1900,704,0.3705263157894737,20,620,616,0.9935483870967742,20
lof,lof_k50,engine_balanced,0.975,4098,1279,0.31210346510492926,1578,39,0.024714828897338403,16,1900,625,0.32894736842105265,20,620,615,0.9919354838709677,20
lof,lof_k50,engine_balanced,0.99,4098,1130,0.27574426549536357,1578,11,0.00697084917617237,8,1900,508,0.2673684210526316,20,620,611,0.9854838709677419,20
ocsvm,ocsvm_nu0p05_gamma_0p01,engine_balanced,0.9,4098,1632,0.39824304538799415,1578,161,0.10202788339670468,16,1900,851,0.4478947368421053,20,620,620,1.0,20
ocsvm,ocsvm_nu0p05_gamma_0p01,engine_balanced,0.95,4098,1482,0.3616398243045388,1578,95,0.060202788339670466,15,1900,767,0.4036842105263158,20,620,620,1.0,20
ocsvm,ocsvm_nu0p05_gamma_0p01,engine_balanced,0.975,4098,1306,0.3186920448999512,1578,47,0.029784537389100127,13,1900,639,0.33631578947368423,20,620,620,1.0,20
ocsvm,ocsvm_nu0p05_gamma_0p01,engine_balanced,0.99,4098,1184,0.2889214250854075,1578,16,0.010139416983523447,8,1900,548,0.28842105263157897,20,620,620,1.0,20
pca,pca_evr0p95,engine_balanced,0.9,4098,600,0.14641288433382138,1578,150,0.09505703422053231,20,1900,217,0.11421052631578947,20,620,233,0.3758064516129032,20
pca,pca_evr0p95,engine_balanced,0.95,4098,408,0.09956076134699854,1578,85,0.053865652724968315,19,1900,127,0.0668421052631579,19,620,196,0.3161290322580645,19
pca,pca_evr0p95,engine_balanced,0.975,4098,275,0.06710590531966813,1578,43,0.027249683143219267,16,1900,67,0.035263157894736843,18,620,165,0.2661290322580645,19
pca,pca_evr0p95,engine_balanced,0.99,4098,223,0.05441678867740361,1578,31,0.01964512040557668,15,1900,48,0.02526315789473684,16,620,144,0.23225806451612904,16
iforest,iforest_n200_ms_0p5,pooled,0.9,4098,1772,0.4324060517325525,1578,228,0.1444866920152091,19,1900,924,0.4863157894736842,20,620,620,1.0,20
iforest,iforest_n200_ms_0p5,pooled,0.95,4098,1530,0.3733528550512445,1578,138,0.08745247148288973,18,1900,772,0.4063157894736842,20,620,620,1.0,20
iforest,iforest_n200_ms_0p5,pooled,0.975,4098,1322,0.3225963884821864,1578,75,0.04752851711026616,16,1900,627,0.33,20,620,620,1.0,20
iforest,iforest_n200_ms_0p5,pooled,0.99,4098,1173,0.2862371888726208,1578,39,0.024714828897338403,11,1900,514,0.27052631578947367,20,620,620,1.0,20
lof,lof_k50,pooled,0.9,4098,1659,0.40483162518301613,1578,174,0.11026615969581749,20,1900,865,0.45526315789473687,20,620,620,1.0,20
lof,lof_k50,pooled,0.95,4098,1434,0.34992679355783307,1578,82,0.051964512040557666,19,1900,735,0.3868421052631579,20,620,617,0.9951612903225806,20
lof,lof_k50,pooled,0.975,4098,1292,0.3152757442654954,1578,41,0.025982256020278833,16,1900,636,0.33473684210526317,20,620,615,0.9919354838709677,20
lof,lof_k50,pooled,0.99,4098,1151,0.28086871644704736,1578,16,0.010139416983523447,11,1900,522,0.27473684210526317,20,620,613,0.9887096774193549,20
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.9,4098,1782,0.43484626647144947,1578,228,0.1444866920152091,18,1900,934,0.49157894736842106,20,620,620,1.0,20
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.95,4098,1571,0.38335773548072233,1578,134,0.08491761723700887,16,1900,817,0.43,20,620,620,1.0,20
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.975,4098,1411,0.34431429965836996,1578,68,0.043092522179974654,15,1900,723,0.38052631578947366,20,620,620,1.0,20
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.99,4098,1272,0.3103953147877013,1578,36,0.022813688212927757,11,1900,616,0.32421052631578945,20,620,620,1.0,20
pca,pca_evr0p95,pooled,0.9,4098,643,0.15690580771107857,1578,165,0.10456273764258556,20,1900,241,0.1268421052631579,20,620,237,0.38225806451612904,20
pca,pca_evr0p95,pooled,0.95,4098,442,0.10785749145924842,1578,94,0.059569074778200254,19,1900,142,0.07473684210526316,19,620,206,0.33225806451612905,19
