horizon,partition,metric,point_estimate,ci_95_lower,ci_95_upper,bootstrap_mean,bootstrap_standard_deviation,valid_draws,invalid_single_class_draws,n_unique_engines,seed
10,val_calib,PR_AUC,0.9639151255570418,0.9448002044554588,0.9892144937224434,0.9679399057852336,0.012019609183621638,1000,0,10,42
10,val_calib,Brier,0.008333083167975777,0.005339302126455487,0.011343419923276931,0.00828216117996801,0.0015485592730889086,1000,0,10,42
10,val_calib,precision,0.7124183006535948,0.6285714285714286,0.8258500704721634,0.7186074352562896,0.050571598981097074,1000,0,10,42
10,val_calib,recall,0.990909090909091,0.9727272727272728,1.0,0.9907181818181818,0.008398211204717483,1000,0,10,42
10,val_calib,f1,0.8288973384030418,0.7703180212014135,0.8971403376165281,0.8318987657992096,0.03261750684302326,1000,0,10,42
20,val_calib,PR_AUC,0.9533141937581185,0.9216051207330248,0.9865570312306932,0.9575616438772088,0.017337880507028454,1000,0,10,42
20,val_calib,Brier,0.011855464349935852,0.00954008454667548,0.014231677204801802,0.01186626426661777,0.0012180219528438597,1000,0,10,42
20,val_calib,precision,0.7969348659003831,0.7357142857142858,0.8571428571428571,0.7999109238312045,0.03139936701889784,1000,0,10,42
20,val_calib,recall,0.9904761904761905,0.9714285714285714,1.0,0.9905333333333333,0.00893841283574485,1000,0,10,42
20,val_calib,f1,0.8832271762208068,0.8450704225352113,0.9155555555555556,0.8846702062322948,0.018525358465081597,1000,0,10,42
30,val_calib,PR_AUC,0.957914089432436,0.9249911648910807,0.986504296882426,0.9613119070612479,0.01646255479071658,1000,0,10,42
30,val_calib,Brier,0.019302958324468943,0.014686716574880663,0.023888062362920248,0.01917189314321663,0.0024260722159910987,1000,0,10,42
30,val_calib,precision,0.7817258883248731,0.7103040968048085,0.8647887323943662,0.7858814385252363,0.040105403788287565,1000,0,10,42
30,val_calib,recall,0.9935483870967742,0.9838709677419355,1.0,0.9934580645161291,0.004060931343894046,1000,0,10,42
30,val_calib,f1,0.875,0.8295024020727999,0.9226274715620614,0.876937170392531,0.023913934845228958,1000,0,10,42
