horizon,draw,metric,value
10,1,PR_AUC,0.9572160921357322
10,1,Brier,0.009170711378460737
10,1,precision,0.6707317073170732
10,1,recall,1.0
10,1,f1,0.8029197080291971
10,2,PR_AUC,0.9475456523216021
10,2,Brier,0.011231812468934888
10,2,precision,0.7105263157894737
10,2,recall,0.9818181818181818
10,2,f1,0.8244274809160306
10,3,PR_AUC,0.9745041374792891
10,3,Brier,0.006894522737373268
10,3,precision,0.7218543046357616
10,3,recall,0.990909090909091
10,3,f1,0.8352490421455939
10,4,PR_AUC,0.9461106553667927
10,4,Brier,0.009077899704689644
10,4,precision,0.650887573964497
10,4,recall,1.0
10,4,f1,0.7885304659498208
10,5,PR_AUC,0.9695914427395512
10,5,Brier,0.007058246609232874
10,5,precision,0.7333333333333333
10,5,recall,1.0
10,5,f1,0.8461538461538461
10,6,PR_AUC,0.9754481171508677
10,6,Brier,0.008645279678781434
10,6,precision,0.782608695652174
10,6,recall,0.9818181818181818
10,6,f1,0.8709677419354839
10,7,PR_AUC,0.9830095530519591
10,7,Brier,0.0067037584142778
10,7,precision,0.7956204379562044
10,7,recall,0.990909090909091
10,7,f1,0.8825910931174089
10,8,PR_AUC,0.9651243256239315
10,8,Brier,0.007900326053558497
10,8,precision,0.6470588235294118
10,8,recall,1.0
10,8,f1,0.7857142857142857
10,9,PR_AUC,0.9781957720229241
10,9,Brier,0.007613161050609863
10,9,precision,0.6432748538011696
10,9,recall,1.0
10,9,f1,0.7829181494661922
10,10,PR_AUC,0.9736320664751316
10,10,Brier,0.006528871884891247
10,10,precision,0.6918238993710691
10,10,recall,1.0
10,10,f1,0.8178438661710037
10,11,PR_AUC,0.9521337094734108
10,11,Brier,0.010309070217426978
10,11,precision,0.6942675159235668
10,11,recall,0.990909090909091
10,11,f1,0.8164794007490637
10,12,PR_AUC,0.9596490163567881
10,12,Brier,0.008573575995108306
10,12,precision,0.6626506024096386
10,12,recall,1.0
10,12,f1,0.7971014492753623
10,13,PR_AUC,0.9742401732968128
10,13,Brier,0.006798538980146159
10,13,precision,0.7333333333333333
10,13,recall,1.0
10,13,f1,0.8461538461538461
10,14,PR_AUC,0.9631740508647965
10,14,Brier,0.008661565724509449
10,14,precision,0.7397260273972602
10,14,recall,0.9818181818181818
10,14,f1,0.84375
10,15,PR_AUC,0.9928751729851255
10,15,Brier,0.004167849462296799
10,15,precision,0.7051282051282052
10,15,recall,1.0
10,15,f1,0.8270676691729323
10,16,PR_AUC,0.9632305381535616
10,16,Brier,0.008585749200228466
10,16,precision,0.6687116564417178
10,16,recall,0.990909090909091
10,16,f1,0.7985347985347986
10,17,PR_AUC,0.9827629797735418
10,17,Brier,0.006361519278887354
10,17,precision,0.7569444444444444
10,17,recall,0.990909090909091
10,17,f1,0.8582677165354331
10,18,PR_AUC,0.9625051842019018
10,18,Brier,0.00992830591463866
10,18,precision,0.7266666666666667
10,18,recall,0.990909090909091
10,18,f1,0.8384615384615385
10,19,PR_AUC,0.9548030479929385
10,19,Brier,0.009997390895930464
10,19,precision,0.7266666666666667
10,19,recall,0.990909090909091
10,19,f1,0.8384615384615385
10,20,PR_AUC,0.9594527565772145
10,20,Brier,0.009717401531382166
10,20,precision,0.7297297297297297
10,20,recall,0.9818181818181818
10,20,f1,0.8372093023255814
10,21,PR_AUC,0.980169013297363
10,21,Brier,0.007412585296368433
10,21,precision,0.7012987012987013
10,21,recall,0.9818181818181818
10,21,f1,0.8181818181818182
10,22,PR_AUC,0.9760892170838618
10,22,Brier,0.007092717420819327
10,22,precision,0.7006369426751592
10,22,recall,1.0
10,22,f1,0.8239700374531835
10,23,PR_AUC,0.98859445572593
10,23,Brier,0.005231923360329748
10,23,precision,0.738255033557047
10,23,recall,1.0
10,23,f1,0.8494208494208494
10,24,PR_AUC,0.9581199119863711
10,24,Brier,0.008485950886701484
10,24,precision,0.6586826347305389
10,24,recall,1.0
10,24,f1,0.7942238267148014
10,25,PR_AUC,0.9760050458978365
10,25,Brier,0.0080003338630321
10,25,precision,0.6646341463414634
10,25,recall,0.990909090909091
10,25,f1,0.7956204379562044
10,26,PR_AUC,0.9724290762439683
10,26,Brier,0.007600371990431781
10,26,precision,0.6687116564417178
10,26,recall,0.990909090909091
10,26,f1,0.7985347985347986
10,27,PR_AUC,0.9631109928581889
10,27,Brier,0.008793073757764103
10,27,precision,0.7171052631578947
10,27,recall,0.990909090909091
10,27,f1,0.8320610687022901
10,28,PR_AUC,0.9739028097268829
10,28,Brier,0.008159059056633302
10,28,precision,0.6987179487179487
10,28,recall,0.990909090909091
10,28,f1,0.8195488721804511
10,29,PR_AUC,0.9539889770856624
10,29,Brier,0.01196790082109119
10,29,precision,0.762589928057554
10,29,recall,0.9636363636363636
10,29,f1,0.8514056224899599
10,30,PR_AUC,0.9520680214232455
10,30,Brier,0.009744571846609932
10,30,precision,0.630057803468208
10,30,recall,0.990909090909091
10,30,f1,0.7703180212014135
10,31,PR_AUC,0.9614440280491374
10,31,Brier,0.010125861676809905
10,31,precision,0.632183908045977
10,31,recall,1.0
10,31,f1,0.7746478873239436
10,32,PR_AUC,0.9718697030345714
10,32,Brier,0.008084360803065549
10,32,precision,0.7364864864864865
10,32,recall,0.990909090909091
10,32,f1,0.8449612403100775
10,33,PR_AUC,0.9828671661131039
10,33,Brier,0.006873098919346018
10,33,precision,0.8074074074074075
10,33,recall,0.990909090909091
10,33,f1,0.889795918367347
10,34,PR_AUC,0.9825404975020624
10,34,Brier,0.006535178781815402
10,34,precision,0.7898550724637681
10,34,recall,0.990909090909091
10,34,f1,0.8790322580645161
10,35,PR_AUC,0.9769597355642347
10,35,Brier,0.007412182042161395
10,35,precision,0.7333333333333333
10,35,recall,1.0
10,35,f1,0.8461538461538461
10,36,PR_AUC,0.9858435403268421
10,36,Brier,0.006774513992987628
10,36,precision,0.816793893129771
10,36,recall,0.9727272727272728
10,36,f1,0.8879668049792531
10,37,PR_AUC,0.9548838214420677
10,37,Brier,0.010816360135610308
10,37,precision,0.6878980891719745
10,37,recall,0.9818181818181818
10,37,f1,0.8089887640449438
10,38,PR_AUC,0.9760898898123941
10,38,Brier,0.007659704815987521
10,38,precision,0.7266666666666667
10,38,recall,0.990909090909091
10,38,f1,0.8384615384615385
10,39,PR_AUC,0.9670025686376005
10,39,Brier,0.008048620080000627
10,39,precision,0.7051282051282052
10,39,recall,1.0
10,39,f1,0.8270676691729323
10,40,PR_AUC,0.9728400097247344
10,40,Brier,0.007009649505787766
10,40,precision,0.7266666666666667
10,40,recall,0.990909090909091
10,40,f1,0.8384615384615385
10,41,PR_AUC,0.9445749510249986
10,41,Brier,0.010912670518480256
10,41,precision,0.6646341463414634
10,41,recall,0.990909090909091
10,41,f1,0.7956204379562044
10,42,PR_AUC,0.9619831588596637
10,42,Brier,0.008926092118177064
10,42,precision,0.6855345911949685
10,42,recall,0.990909090909091
10,42,f1,0.8104089219330854
10,43,PR_AUC,0.963324568552636
10,43,Brier,0.008655041645023268
10,43,precision,0.7414965986394558
10,43,recall,0.990909090909091
10,43,f1,0.8482490272373541
10,44,PR_AUC,0.9791531773022653
10,44,Brier,0.006531441350744985
10,44,precision,0.6918238993710691
10,44,recall,1.0
10,44,f1,0.8178438661710037
10,45,PR_AUC,0.97639521184543
10,45,Brier,0.008216190836024357
10,45,precision,0.7236842105263158
10,45,recall,1.0
10,45,f1,0.8396946564885496
10,46,PR_AUC,0.9578562804840538
10,46,Brier,0.009583808603025273
10,46,precision,0.6875
10,46,recall,1.0
10,46,f1,0.8148148148148148
10,47,PR_AUC,0.9882531520252471
10,47,Brier,0.005171164114394249
10,47,precision,0.7746478873239436
10,47,recall,1.0
10,47,f1,0.873015873015873
10,48,PR_AUC,0.9619246914229544
10,48,Brier,0.007895178304174293
10,48,precision,0.6707317073170732
10,48,recall,1.0
10,48,f1,0.8029197080291971
10,49,PR_AUC,0.9670091545871528
10,49,Brier,0.007743078269069117
10,49,precision,0.6666666666666666
10,49,recall,1.0
10,49,f1,0.8
10,50,PR_AUC,0.9664855624358858
10,50,Brier,0.00795545435274248
10,50,precision,0.6962025316455697
10,50,recall,1.0
10,50,f1,0.8208955223880597
10,51,PR_AUC,0.9884990572851117
10,51,Brier,0.005342055428151019
10,51,precision,0.68125
10,51,recall,0.990909090909091
10,51,f1,0.8074074074074075
10,52,PR_AUC,0.9532109351198839
10,52,Brier,0.0083701043460066
10,52,precision,0.625
10,52,recall,1.0
10,52,f1,0.7692307692307693
10,53,PR_AUC,0.9629346767647514
10,53,Brier,0.00827253472233152
10,53,precision,0.6748466257668712
10,53,recall,1.0
10,53,f1,0.8058608058608059
10,54,PR_AUC,0.9735348961830812
10,54,Brier,0.006754853001109862
10,54,precision,0.7534246575342466
10,54,recall,1.0
10,54,f1,0.859375
10,55,PR_AUC,0.9545926603029439
10,55,Brier,0.00947707203434002
10,55,precision,0.7414965986394558
10,55,recall,0.990909090909091
10,55,f1,0.8482490272373541
10,56,PR_AUC,0.9776265338462701
10,56,Brier,0.007373200527612574
10,56,precision,0.72
10,56,recall,0.9818181818181818
10,56,f1,0.8307692307692308
10,57,PR_AUC,0.9792153894472402
10,57,Brier,0.00792095158568614
10,57,precision,0.7552447552447552
10,57,recall,0.9818181818181818
10,57,f1,0.8537549407114624
10,58,PR_AUC,0.9844266771454527
10,58,Brier,0.005902600586908681
10,58,precision,0.7096774193548387
10,58,recall,1.0
10,58,f1,0.8301886792452831
10,59,PR_AUC,0.9517937469545947
10,59,Brier,0.011148157708666454
10,59,precision,0.6858974358974359
10,59,recall,0.9727272727272728
10,59,f1,0.8045112781954887
10,60,PR_AUC,0.9688214171344105
10,60,Brier,0.007427474590069414
10,60,precision,0.6547619047619048
10,60,recall,1.0
10,60,f1,0.7913669064748201
10,61,PR_AUC,0.9573826909159058
10,61,Brier,0.009705133164906624
10,61,precision,0.7181208053691275
10,61,recall,0.9727272727272728
10,61,f1,0.8262548262548263
10,62,PR_AUC,0.9684101695133184
10,62,Brier,0.007755095903992801
10,62,precision,0.6918238993710691
10,62,recall,1.0
10,62,f1,0.8178438661710037
10,63,PR_AUC,0.963359334827152
10,63,Brier,0.008906905578521395
10,63,precision,0.7152317880794702
10,63,recall,0.9818181818181818
10,63,f1,0.8275862068965517
10,64,PR_AUC,0.9480149535672932
10,64,Brier,0.009850977538771101
10,64,precision,0.6790123456790124
10,64,recall,1.0
10,64,f1,0.8088235294117647
10,65,PR_AUC,0.971575417811849
10,65,Brier,0.008215439297542896
10,65,precision,0.7605633802816901
10,65,recall,0.9818181818181818
10,65,f1,0.8571428571428571
10,66,PR_AUC,0.9548864427849784
10,66,Brier,0.009808926099924089
10,66,precision,0.689873417721519
10,66,recall,0.990909090909091
10,66,f1,0.8134328358208955
10,67,PR_AUC,0.9492455901428218
10,67,Brier,0.011993488937456434
10,67,precision,0.6374269005847953
10,67,recall,0.990909090909091
10,67,f1,0.7758007117437722
10,68,PR_AUC,0.9762255909293147
10,68,Brier,0.007544446869490957
10,68,precision,0.6432748538011696
10,68,recall,1.0
10,68,f1,0.7829181494661922
10,69,PR_AUC,0.9774973608896212
10,69,Brier,0.009438255164890927
10,69,precision,0.8503937007874016
10,69,recall,0.9818181818181818
10,69,f1,0.9113924050632911
10,70,PR_AUC,0.9447936768104763
10,70,Brier,0.010950123916675282
10,70,precision,0.6646341463414634
10,70,recall,0.990909090909091
10,70,f1,0.7956204379562044
10,71,PR_AUC,0.9818222187072818
10,71,Brier,0.01149782765945715
10,71,precision,0.8780487804878049
10,71,recall,0.9818181818181818
10,71,f1,0.927038626609442
10,72,PR_AUC,0.9701571891387964
10,72,Brier,0.007647188849112612
10,72,precision,0.6942675159235668
10,72,recall,0.990909090909091
10,72,f1,0.8164794007490637
10,73,PR_AUC,0.9712500734882074
10,73,Brier,0.007979477183271142
10,73,precision,0.7364864864864865
