horizon,model,parameters_json,representation,window,include_settings,n_features,tune_prevalence,tune_PR_AUC,tune_Brier_raw,precision_at_0_5_diagnostic,recall_at_0_5_diagnostic,f1_at_0_5_diagnostic,tp_at_0_5_diagnostic,fp_at_0_5_diagnostic,fn_at_0_5_diagnostic,tn_at_0_5_diagnostic,fit_time_seconds,inference_us_per_row
10,logistic,"{""C"": 10.0, ""class_weight"": ""balanced""}",window,30,True,123,0.053684724255734506,0.9687134873218175,0.023449529030778817,0.6043956043956044,1.0,0.7534246575342466,220,144,0,3734,0.022107840999524342,0.32081210326590076
10,rf,"{""class_weight"": null, ""min_samples_leaf"": 3, ""n_estimators"": 200}",window,30,True,123,0.053684724255734506,0.9609804990515391,0.00927645607015906,0.9261083743842364,0.8545454545454545,0.8888888888888888,188,15,32,3863,0.0650547879995429,10.682867740508557
10,rf,"{""class_weight"": ""balanced"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",window,30,True,123,0.053684724255734506,0.9363772074196453,0.010814233794625107,0.8623853211009175,0.8545454545454545,0.8584474885844748,188,30,32,3848,0.061822984000173165,10.84879917064384
10,rf,"{""class_weight"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200}",window,30,True,123,0.053684724255734506,0.9576625052317436,0.009624220407445686,0.9211822660098522,0.85,0.8841607565011821,187,16,33,3862,0.07263125099962053,8.963237188680987
10,rf,"{""class_weight"": ""balanced"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",window,30,True,123,0.053684724255734506,0.9374133590005614,0.010697262368872683,0.8571428571428571,0.9272727272727272,0.8908296943231441,204,34,16,3844,0.06687785800022539,9.229166666429292
10,gbr,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",window,30,True,123,0.053684724255734506,0.9520366179005839,0.01018016837475468,0.914572864321608,0.8272727272727273,0.8687350835322196,182,17,38,3861,0.03257100900009391,2.6902059541244263
10,gbr,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",window,30,True,123,0.053684724255734506,0.9549759961294092,0.010560377654638083,0.9054726368159204,0.8272727272727273,0.8646080760095012,182,19,38,3859,0.041504642000290914,3.603007320743093
20,logistic,"{""C"": 0.1, ""class_weight"": null}",window,30,False,121,0.10248901903367497,0.9830880202512741,0.0106457617170779,0.9128440366972477,0.9476190476190476,0.9299065420560748,398,38,22,3640,0.025410992000615806,0.2848626158254236
20,rf,"{""class_weight"": null, ""min_samples_leaf"": 3, ""n_estimators"": 200}",window,30,False,121,0.10248901903367497,0.9829872514986809,0.012033594504494411,0.9433497536945813,0.9119047619047619,0.927360774818402,383,23,37,3655,0.06471982400034904,11.25887945324663
20,rf,"{""class_weight"": ""balanced"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",window,30,False,121,0.10248901903367497,0.9827906011483637,0.012484711689139389,0.9196217494089834,0.9261904761904762,0.9228944246737841,389,34,31,3644,0.06562428100005491,8.165449487825658
20,rf,"{""class_weight"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200}",window,30,False,121,0.10248901903367497,0.9818368311648311,0.012528710173915908,0.9313725490196079,0.9047619047619048,0.9178743961352657,380,28,40,3650,0.06540268900062074,8.835337725636865
20,rf,"{""class_weight"": ""balanced"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",window,30,False,121,0.10248901903367497,0.982156175690982,0.012848932481130435,0.9061784897025171,0.9428571428571428,0.9241540256709452,396,41,24,3637,0.06490893699992739,8.76061786216644
20,gbr,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",window,30,False,121,0.10248901903367497,0.9797121207940995,0.01267066511002914,0.9491094147582697,0.888095238095238,0.9175891758917589,373,20,47,3658,0.03163829299955978,3.9263904341446527
20,gbr,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",window,30,False,121,0.10248901903367497,0.979734219991996,0.013187021365061658,0.949238578680203,0.8904761904761904,0.918918918918919,374,20,46,3658,0.03361244599909696,2.2644780380016156
30,logistic,"{""C"": 0.1, ""class_weight"": null}",window,30,True,123,0.15129331381161543,0.9870208278251931,0.014023696690596861,0.9566666666666667,0.9258064516129032,0.940983606557377,574,26,46,3452,0.0242219350002415,0.6377176675661612
30,rf,"{""class_weight"": null, ""min_samples_leaf"": 3, ""n_estimators"": 200}",window,30,True,123,0.15129331381161543,0.981365635511316,0.01851106090327066,0.949740034662045,0.8838709677419355,0.9156223893065998,548,29,72,3449,0.06560183100009453,8.778710346611717
30,rf,"{""class_weight"": ""balanced"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",window,30,True,123,0.15129331381161543,0.982934534131737,0.017932535630435557,0.9379194630872483,0.9016129032258065,0.9194078947368421,559,37,61,3441,0.0654106510010024,11.17949487534271
30,rf,"{""class_weight"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200}",window,30,True,123,0.15129331381161543,0.9804923571336036,0.018894428187843832,0.9434931506849316,0.8887096774193548,0.915282392026578,551,33,69,3445,0.10435583199978282,14.203209858280752
30,rf,"{""class_weight"": ""balanced"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",window,30,True,123,0.15129331381161543,0.9816258953583379,0.018558158851347997,0.9230769230769231,0.9290322580645162,0.9260450160771704,576,48,44,3430,0.06922315399970103,8.405676183674485
30,gbr,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",window,30,True,123,0.15129331381161543,0.9816468977976673,0.01821099899181522,0.9609929078014184,0.8741935483870967,0.9155405405405406,542,22,78,3456,0.0353575400004047,2.3943006344726596
