partition,engine_id,horizon,n_rows,n_positive,n_negative,prevalence,PR_AUC,Brier,threshold,precision,recall,f1,tp,fp,fn,tn,false_negative_cost,false_positive_cost,total_row_cost,normalized_row_cost
val_calib,19,10,158,11,147,0.06962025316455696,1.0,0.004693352302233332,0.11340399728926802,0.7333333333333333,1.0,0.8461538461538461,11,4,0,143,0.0,4.0,4.0,0.02531645569620253
val_calib,19,20,158,21,137,0.13291139240506328,1.0000000000000002,0.007338779184987414,0.22290462955112206,0.875,1.0,0.9333333333333333,21,3,0,134,0.0,3.0,3.0,0.0189873417721519
val_calib,19,30,158,31,127,0.1962025316455696,0.9948167671910898,0.01592548772356748,0.11654045954796569,0.7380952380952381,1.0,0.8493150684931506,31,11,0,116,0.0,11.0,11.0,0.06962025316455696
val_calib,23,10,168,11,157,0.06547619047619048,1.0,0.013140734775361682,0.11340399728926802,1.0,1.0,1.0,11,0,0,157,0.0,0.0,0.0,0.0
val_calib,23,20,168,21,147,0.125,0.9935916395543725,0.01468102684773927,0.22290462955112206,0.9130434782608695,1.0,0.9545454545454546,21,2,0,145,0.0,2.0,2.0,0.011904761904761904
val_calib,23,30,168,31,137,0.18452380952380953,0.9686384543098095,0.03495635628774904,0.11654045954796569,0.775,1.0,0.8732394366197183,31,9,0,128,0.0,9.0,9.0,0.05357142857142857
val_calib,32,10,191,11,180,0.05759162303664921,0.9686586141131597,0.010417889135219625,0.11340399728926802,0.5789473684210527,1.0,0.7333333333333333,11,8,0,172,0.0,8.0,8.0,0.041884816753926704
val_calib,32,20,191,21,170,0.1099476439790576,0.9923809523809528,0.014619870503459562,0.22290462955112206,0.8076923076923077,1.0,0.8936170212765957,21,5,0,165,0.0,5.0,5.0,0.02617801047120419
val_calib,32,30,191,31,160,0.16230366492146597,0.9938412208851584,0.013226654242523433,0.11654045954796569,0.8157894736842105,1.0,0.8985507246376812,31,7,0,153,0.0,7.0,7.0,0.03664921465968586
val_calib,43,10,207,11,196,0.05314009661835749,0.9924242424242424,0.004399850633023284,0.11340399728926802,0.6875,1.0,0.8148148148148148,11,5,0,191,0.0,5.0,5.0,0.024154589371980676
