bin_id,lo,hi,count,mean_pred,frac_pos,horizon,stage,absolute_calibration_gap
0,1.404141652861914e-09,2.6213146919415146e-05,203,1.079213355412017e-05,0.0,10,raw,1.079213355412017e-05
1,2.6213146919415146e-05,0.00026700693325108966,202,0.0001372387719127144,0.0,10,raw,0.0001372387719127144
2,0.00026700693325108966,0.0006812357719001033,203,0.0004121749813760985,0.0,10,raw,0.0004121749813760985
3,0.0006812357719001033,0.0012643410018306296,202,0.0010267532458196704,0.0,10,raw,0.0010267532458196704
4,0.0012643410018306296,0.0019467794209114086,203,0.0015462079256118371,0.0,10,raw,0.0015462079256118371
5,0.0019467794209114086,0.004467373676132385,203,0.0030271691967566233,0.0,10,raw,0.0030271691967566233
6,0.004467373676132385,0.012521510566757463,202,0.007572709401611511,0.0,10,raw,0.007572709401611511
7,0.012521510566757463,0.07310875481377949,202,0.0320595072219352,0.0,10,raw,0.0320595072219352
8,0.07310875481377949,0.5869502735259128,203,0.2550435796434422,0.0,10,raw,0.2550435796434422
9,0.5869502735259128,0.9996624466166437,203,0.8663996649824831,0.541871921182266,10,raw,0.3245277438002171
0,3.215653590605072e-25,1.5075769609929037e-14,203,3.037516695721454e-15,0.0,10,platt,3.037516695721454e-15
1,1.5075769609929037e-14,4.976762150998752e-12,202,1.5880161532875986e-12,0.0,10,platt,1.5880161532875986e-12
2,4.976762150998752e-12,5.172345615748412e-11,203,1.661852391270801e-11,0.0,10,platt,1.661852391270801e-11
3,5.172345615748412e-11,2.428346290925297e-10,202,1.5046255231809423e-10,0.0,10,platt,1.5046255231809423e-10
4,2.428346290925297e-10,7.151310613953058e-10,203,4.129258489969552e-10,0.0,10,platt,4.129258489969552e-10
5,7.151310613953058e-10,5.733170344500356e-09,203,2.365674105867415e-09,0.0,10,platt,2.365674105867415e-09
6,5.733170344500356e-09,7.682660635970475e-08,202,2.4856048881923217e-08,0.0,10,platt,2.4856048881923217e-08
7,7.682660635970475e-08,7.392176965654259e-06,202,1.3628394114693245e-06,0.0,10,platt,1.3628394114693245e-06
8,7.392176965654259e-06,0.010035767362277466,203,0.001200100107305966,0.0,10,platt,0.001200100107305966
9,0.010035767362277466,0.9999994964185244,203,0.5406704483801517,0.541871921182266,10,platt,0.0012014728021143561
0,3.215653590605072e-25,1.5075769609929037e-14,203,3.037516695721454e-15,0.0,10,platt_monotone,3.037516695721454e-15
