operational_priority,engine_id,current_cycle,recommendation,recommendation_rank,primary_reason_code,primary_reason,all_triggered_reason_codes,recommended_action,predicted_RUL_cycles,RUL_lower_cycles,RUL_upper_cycles,failure_probability_10_cycles,failure_probability_20_cycles,failure_probability_30_cycles,anomaly_percentile,persistent_anomaly_alert
1,81,213,STOP,2,CLASSIFICATION_H10_POSITIVE,High frozen probability of failure within 10 cycles,CLASSIFICATION_H10_POSITIVE|REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,5.387804639394957,0.0,23.801197856438023,0.7168484388312916,0.9994166440283084,0.9994166440283084,1.0,1
2,20,184,STOP,2,REGRESSION_POINT_RUL_LE_10,Predicted remaining life is at most 10 cycles,REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,6.211017066082502,0.0,24.624410283125567,0.0740584154103968,0.9898734645131152,0.9977277740576468,1.0,1
3,34,203,STOP,2,CLASSIFICATION_H10_POSITIVE,High frozen probability of failure within 10 cycles,CLASSIFICATION_H10_POSITIVE|REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,7.6446980626723935,0.0,26.05809127971546,0.940859819375214,0.9999792825833858,0.9999960935470013,1.0,1
4,49,303,STOP,2,REGRESSION_POINT_RUL_LE_10,Predicted remaining life is at most 10 cycles,REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,7.951323591011421,0.0,26.364716808054485,0.0508697952331062,0.924801564741138,0.9854395355222546,1.0,1
5,31,196,STOP,2,CLASSIFICATION_H10_POSITIVE,High frozen probability of failure within 10 cycles,CLASSIFICATION_H10_POSITIVE|REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,9.087427485910595,0.0,27.50082070295366,0.4944387695567235,0.9985489395182038,0.9985489395182038,1.0,1
6,76,205,STOP,2,CLASSIFICATION_H10_POSITIVE,High frozen probability of failure within 10 cycles,CLASSIFICATION_H10_POSITIVE|REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,9.708237299848612,0.0,28.12163051689168,0.4858156189314496,0.9997268296011412,0.9998763608932402,1.0,1
7,68,187,STOP,2,CLASSIFICATION_H10_POSITIVE,High frozen probability of failure within 10 cycles,CLASSIFICATION_H10_POSITIVE|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,11.318319297961937,0.0,29.731712515005,0.5563666656005,0.9990720049500954,0.9990880269838148,1.0,1
8,82,162,STOP,2,CLASSIFICATION_H10_POSITIVE,High frozen probability of failure within 10 cycles,CLASSIFICATION_H10_POSITIVE|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,11.427814799722793,0.0,29.84120801676585,0.429254417174835,0.9996929888889556,0.9999438819354082,1.0,1
9,42,156,STOP,2,CLASSIFICATION_H10_POSITIVE,High frozen probability of failure within 10 cycles,CLASSIFICATION_H10_POSITIVE|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,11.848581624622902,0.0,30.261974841665968,0.1890923731052325,0.9996239760471486,0.9999878331613156,1.0,1
10,35,198,STOP,2,CLASSIFICATION_H10_POSITIVE,High frozen probability of failure within 10 cycles,CLASSIFICATION_H10_POSITIVE|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Stop operation and initiate urgent maintenance review.,13.35072249270034,0.0,31.764115709743407,0.1919039709191228,0.9140297888661448,0.9577787146179568,1.0,1
