model,representation,cap,hparams,n_feat_in,n_feat_used,tune_PHM_mean_dev,tune_MAE_dev,tune_RMSE_dev,tune_R2_dev,tune_nearfail_MAE,diag_tune_PHM_mean_capped,diag_tune_MAE_capped
ridge,window,100,{'alpha': 0.1},121,121,3.089822645602356,11.202206683041785,13.914952411319671,0.7722048228125987,9.401033516452827,2.867073763998135,10.805544259044543
ridge,window,100,{'alpha': 1.0},121,121,3.0913079636980076,11.205053745112544,13.91796516952528,0.7721061712233896,9.398505964280146,2.862960318145819,10.804143727267027
ridge,window,100,{'alpha': 10.0},121,121,3.0971741203507817,11.216678260984082,13.928430147089445,0.7717633336913527,9.393696798672472,2.8376385685544006,10.790237668454177
ridge,baseline,100,{'alpha': 0.1},15,15,3.772733044219504,12.238726542434993,14.995965066132321,0.7354365079239282,12.36474936297735,3.1248705123161895,11.766304286515034
ridge,baseline,100,{'alpha': 1.0},15,15,3.772780430736537,12.238834069705698,14.996048479443864,0.7354335647084346,12.364988294622943,3.1248733736969423,11.766313093639868
ridge,baseline,100,{'alpha': 10.0},15,15,3.77325414747184,12.239906960445005,14.996882410091553,0.7354041387975137,12.367373137655354,3.124902973524853,11.766401463173864
gbr,window,100,"{'n_estimators': 150, 'learning_rate': 0.1, 'max_depth': 3}",121,121,3.8857465555288493,11.084391521988113,14.337355184257566,0.7581649956711091,5.467727962002732,2.3081187881765572,7.9968439798881805
gbr,window,100,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3}",121,121,3.977372984336066,11.123722133106265,14.399342950179173,0.7560693207095592,5.625950127944308,2.347961940553117,7.924367628780319
poly2,baseline,100,{'alpha': 0.1},15,135,4.160320401327575,11.830753680912391,15.014412588873263,0.7347851936600989,9.589295992595344,2.8080267388640126,10.251526959963053
poly2,baseline,100,{'alpha': 1.0},15,135,4.160322647121361,11.831070240869346,15.01456600189077,0.7347797738527833,9.589776069312268,2.8078956130418398,10.251245104907428
poly2,baseline,100,{'alpha': 10.0},15,135,4.160682603097491,11.83426291279127,15.01622640297636,0.734721111311242,9.594664174609797,2.8068888316086302,10.248826155325432
rf,window,100,"{'n_estimators': 100, 'min_samples_leaf': 5}",121,121,4.551350798408722,11.338012634751026,15.253137116821808,0.726284480112274,5.702328102980504,2.7933866090124857,8.13522064408695
rf,window,100,"{'n_estimators': 100, 'min_samples_leaf': 3}",121,121,4.58282291220959,11.377288709849088,15.264474938614912,0.7258774174687026,5.720484200454564,2.817408213778274,8.192140408208683
rf,baseline,100,"{'n_estimators': 100, 'min_samples_leaf': 5}",15,15,4.638247099833335,11.18126528684106,15.031299166371365,0.7341882886718158,6.45701311593879,2.682723815502723,7.883505747039324
gbr,baseline,100,"{'n_estimators': 150, 'learning_rate': 0.1, 'max_depth': 3}",15,15,4.641552338145266,11.158501515276035,15.032815745754451,0.7341346479461142,6.082461645864522,2.674098245693575,7.876919067110897
rf,baseline,100,"{'n_estimators': 100, 'min_samples_leaf': 3}",15,15,4.68104007618653,11.190825282767449,15.04299274252805,0.7337745521744099,6.388268517457926,2.714105529739149,7.923972146609711
