family,candidate_id,reference_type,cutoff,m,n,selection_eligible,engine_id,failure_cycle,first_satisfaction_cycle,tau,missed,trigger_at_failure_only,lead_time,late_delay,early_burden,late_normalized,early_normalized_uncapped,early_normalized_for_cost,miss_component,late_component,early_component,total_cost,first_trigger_while_healthy,n_cycle_gaps
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,19,158,3.0,3.0,False,False,155.0,0,125,0.0,4.166666666666667,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,23,168,53.0,53.0,False,False,115.0,0,85,0.0,2.8333333333333335,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,32,191,20.0,20.0,False,False,171.0,0,141,0.0,4.7,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,43,207,3.0,3.0,False,False,204.0,0,174,0.0,5.8,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,56,275,2.0,2.0,False,False,273.0,0,243,0.0,8.1,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,70,137,33.0,33.0,False,False,104.0,0,74,0.0,2.466666666666667,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,71,208,7.0,7.0,False,False,201.0,0,171,0.0,5.7,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,73,213,2.0,2.0,False,False,211.0,0,181,0.0,6.033333333333333,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,84,267,1.0,1.0,False,False,266.0,0,236,0.0,7.866666666666666,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,97,202,12.0,12.0,False,False,190.0,0,160,0.0,5.333333333333333,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,19,158,12.0,12.0,False,False,146.0,0,116,0.0,3.8666666666666667,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,23,168,55.0,55.0,False,False,113.0,0,83,0.0,2.7666666666666666,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,32,191,21.0,21.0,False,False,170.0,0,140,0.0,4.666666666666667,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,43,207,44.0,44.0,False,False,163.0,0,133,0.0,4.433333333333334,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,56,275,50.0,50.0,False,False,225.0,0,195,0.0,6.5,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,70,137,90.0,90.0,False,False,47.0,0,17,0.0,0.5666666666666667,0.5666666666666667,0.0,0.0,0.5666666666666667,0.5666666666666667,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,71,208,124.0,124.0,False,False,84.0,0,54,0.0,1.8,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,73,213,4.0,4.0,False,False,209.0,0,179,0.0,5.966666666666667,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,84,267,28.0,28.0,False,False,239.0,0,209,0.0,6.966666666666667,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,97,202,89.0,89.0,False,False,113.0,0,83,0.0,2.7666666666666666,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,19,158,52.0,52.0,False,False,106.0,0,76,0.0,2.533333333333333,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,23,168,101.0,101.0,False,False,67.0,0,37,0.0,1.2333333333333334,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,32,191,66.0,66.0,False,False,125.0,0,95,0.0,3.1666666666666665,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,43,207,45.0,45.0,False,False,162.0,0,132,0.0,4.4,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,56,275,51.0,51.0,False,False,224.0,0,194,0.0,6.466666666666667,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,70,137,92.0,92.0,False,False,45.0,0,15,0.0,0.5,0.5,0.0,0.0,0.5,0.5,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,71,208,126.0,126.0,False,False,82.0,0,52,0.0,1.7333333333333334,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,73,213,6.0,6.0,False,False,207.0,0,177,0.0,5.9,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,84,267,80.0,80.0,False,False,187.0,0,157,0.0,5.233333333333333,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,97,202,144.0,144.0,False,False,58.0,0,28,0.0,0.9333333333333333,0.9333333333333333,0.0,0.0,0.9333333333333333,0.9333333333333333,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,5,10,True,19,158,54.0,54.0,False,False,104.0,0,74,0.0,2.466666666666667,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,5,10,True,23,168,103.0,103.0,False,False,65.0,0,35,0.0,1.1666666666666667,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,5,10,True,32,191,72.0,72.0,False,False,119.0,0,89,0.0,2.966666666666667,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,5,10,True,43,207,168.0,168.0,False,False,39.0,0,9,0.0,0.3,0.3,0.0,0.0,0.3,0.3,False,0
