family,candidate_id,reference_type,cutoff,m,n,selection_eligible,n_engines,missed_engines,miss_rate,trigger_at_failure_only_engines,mean_total_cost,mean_miss_component,mean_late_component,mean_early_component,mean_raw_late_delay,mean_raw_early_burden,mean_lead_time,median_lead_time,minimum_lead_time,maximum_lead_time,healthy_first_trigger_fraction
iforest,iforest_n200_ms_0p5,pooled,0.9,1,1,False,10,0,0.0,0,1.0,0.0,0.0,1.0,0.0,159.0,189.0,195.5,104.0,273.0,0.8
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,10,0,0.0,0,0.9566666666666667,0.0,0.0,0.9566666666666667,0.0,120.9,150.9,154.5,47.0,239.0,0.6
iforest,iforest_n200_ms_0p5,pooled,0.9,3,5,True,10,0,0.0,0,0.9433333333333334,0.0,0.0,0.9433333333333334,0.0,96.3,126.3,115.5,45.0,224.0,0.4
iforest,iforest_n200_ms_0p5,pooled,0.9,5,10,True,10,0,0.0,0,0.8633333333333333,0.0,0.0,0.8633333333333333,0.0,75.2,105.2,92.5,39.0,203.0,0.3
iforest,iforest_n200_ms_0p5,pooled,0.95,1,1,False,10,0,0.0,0,0.9633333333333333,0.0,0.0,0.9633333333333333,0.0,146.7,176.7,180.5,49.0,269.0,0.8
iforest,iforest_n200_ms_0p5,pooled,0.95,2,3,True,10,0,0.0,0,0.8933333333333333,0.0,0.0,0.8933333333333333,0.0,77.7,107.7,87.5,44.0,207.0,0.4
iforest,iforest_n200_ms_0p5,pooled,0.95,3,5,True,10,0,0.0,0,0.8733333333333334,0.0,0.0,0.8733333333333334,0.0,60.6,90.6,83.0,41.0,174.0,0.2
iforest,iforest_n200_ms_0p5,pooled,0.95,5,10,True,10,0,0.0,0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,52.2,82.2,69.0,38.0,157.0,0.2
iforest,iforest_n200_ms_0p5,pooled,0.975,1,1,False,10,0,0.0,0,0.9633333333333333,0.0,0.0,0.9633333333333333,0.0,118.4,148.4,170.5,49.0,207.0,0.7
iforest,iforest_n200_ms_0p5,pooled,0.975,2,3,True,10,0,0.0,0,0.86,0.0,0.0,0.86,0.0,57.3,87.3,80.0,39.0,151.0,0.2
iforest,iforest_n200_ms_0p5,pooled,0.975,3,5,True,10,0,0.0,0,0.8266666666666668,0.0,0.0,0.8266666666666668,0.0,47.0,77.0,69.0,38.0,137.0,0.1
iforest,iforest_n200_ms_0p5,pooled,0.975,5,10,True,10,0,0.0,0,0.8133333333333332,0.0,0.0,0.8133333333333332,0.0,44.9,74.9,68.0,37.0,131.0,0.1
iforest,iforest_n200_ms_0p5,pooled,0.99,1,1,False,10,0,0.0,0,0.8800000000000001,0.0,0.0,0.8800000000000001,0.0,70.2,100.2,72.0,43.0,171.0,0.4
iforest,iforest_n200_ms_0p5,pooled,0.99,2,3,True,10,0,0.0,0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,43.2,73.2,65.5,38.0,114.0,0.0
iforest,iforest_n200_ms_0p5,pooled,0.99,3,5,True,10,0,0.0,0,0.8066666666666666,0.0,0.0,0.8066666666666666,0.0,41.8,71.8,63.5,37.0,113.0,0.0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,10,0,0.0,0,0.7566666666666666,0.0,0.0,0.7566666666666666,0.0,36.2,66.2,58.0,35.0,110.0,0.0
lof,lof_k50,pooled,0.9,1,1,False,10,0,0.0,0,1.0,0.0,0.0,1.0,0.0,161.2,191.2,184.0,128.0,269.0,1.0
lof,lof_k50,pooled,0.9,2,3,True,10,0,0.0,0,1.0,0.0,0.0,1.0,0.0,134.0,164.0,162.5,86.0,239.0,0.8
lof,lof_k50,pooled,0.9,3,5,True,10,0,0.0,0,0.8533333333333333,0.0,0.0,0.8533333333333333,0.0,56.5,86.5,73.0,38.0,162.0,0.3
lof,lof_k50,pooled,0.9,5,10,True,10,0,0.0,0,0.8400000000000001,0.0,0.0,0.8400000000000001,0.0,45.8,75.8,63.5,37.0,158.0,0.1
lof,lof_k50,pooled,0.95,1,1,False,10,0,0.0,0,1.0,0.0,0.0,1.0,0.0,144.1,174.1,173.5,77.0,269.0,0.8
lof,lof_k50,pooled,0.95,2,3,True,10,0,0.0,0,1.0,0.0,0.0,1.0,0.0,106.9,136.9,134.5,68.0,213.0,0.6
lof,lof_k50,pooled,0.95,3,5,True,10,0,0.0,0,0.8366666666666667,0.0,0.0,0.8366666666666667,0.0,41.1,71.1,62.0,38.0,112.0,0.0
lof,lof_k50,pooled,0.95,5,10,True,10,0,0.0,0,0.82,0.0,0.0,0.82,0.0,38.1,68.1,61.0,37.0,109.0,0.0
lof,lof_k50,pooled,0.975,1,1,False,10,0,0.0,0,1.0,0.0,0.0,1.0,0.0,122.6,152.6,159.5,77.0,213.0,0.7
lof,lof_k50,pooled,0.975,2,3,True,10,0,0.0,0,0.9033333333333333,0.0,0.0,0.9033333333333333,0.0,64.9,94.9,87.0,39.0,199.0,0.2
lof,lof_k50,pooled,0.975,3,5,True,10,0,0.0,0,0.8233333333333335,0.0,0.0,0.8233333333333335,0.0,38.1,68.1,60.5,37.0,109.0,0.0
lof,lof_k50,pooled,0.975,5,10,True,10,0,0.0,0,0.7633333333333334,0.0,0.0,0.7633333333333334,0.0,32.6,62.6,57.0,33.0,101.0,0.0
lof,lof_k50,pooled,0.99,1,1,False,10,0,0.0,0,0.8733333333333334,0.0,0.0,0.8733333333333334,0.0,74.7,104.7,88.5,37.0,176.0,0.4
lof,lof_k50,pooled,0.99,2,3,True,10,0,0.0,0,0.8366666666666667,0.0,0.0,0.8366666666666667,0.0,40.9,70.9,64.5,36.0,109.0,0.0
lof,lof_k50,pooled,0.99,3,5,True,10,0,0.0,0,0.79,0.0,0.0,0.79,0.0,33.2,63.2,58.0,33.0,96.0,0.0
lof,lof_k50,pooled,0.99,5,10,True,10,0,0.0,0,0.6833333333333333,0.0,0.0,0.6833333333333333,0.0,27.7,57.7,55.5,30.0,91.0,0.0
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.9,1,1,False,10,0,0.0,0,1.0,0.0,0.0,1.0,0.0,156.0,186.0,187.5,104.0,273.0,0.8
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.9,2,3,True,10,0,0.0,0,0.9033333333333333,0.0,0.0,0.9033333333333333,0.0,110.6,140.6,129.5,44.0,267.0,0.5
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.9,3,5,True,10,0,0.0,0,0.8966666666666667,0.0,0.0,0.8966666666666667,0.0,95.8,125.8,106.0,43.0,225.0,0.4
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.9,5,10,True,10,0,0.0,0,0.8800000000000001,0.0,0.0,0.8800000000000001,0.0,75.1,105.1,93.5,40.0,203.0,0.3
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.95,1,1,False,10,0,0.0,0,0.9633333333333333,0.0,0.0,0.9633333333333333,0.0,136.5,166.5,166.0,49.0,266.0,0.7
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.95,2,3,True,10,0,0.0,0,0.8666666666666666,0.0,0.0,0.8666666666666666,0.0,97.4,127.4,120.0,39.0,239.0,0.5
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.95,3,5,True,10,0,0.0,0,0.8566666666666667,0.0,0.0,0.8566666666666667,0.0,78.2,108.2,92.5,38.0,225.0,0.3
ocsvm,ocsvm_nu0p05_gamma_0p01,pooled,0.95,5,10,True,10,0,0.0,0,0.8466666666666667,0.0,0.0,0.8466666666666667,0.0,62.8,92.8,84.0,37.0,203.0,0.2
