replicate_id,n_engine_draws,n_unique_engines_in_draw,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_raw_late_delay,mean_raw_early_burden,mean_lead_time_alerted,median_lead_time_alerted,healthy_first_trigger_fraction
0,10,6,0.8233333333333335,0.0,0.0,0.0,0.8233333333333335,0.0,36.9,66.9,56.0,0.0
1,10,6,0.5866666666666667,0.0,0.0,0.0,0.5866666666666667,0.0,29.9,59.9,47.0,0.0
2,10,8,0.72,0.0,0.0,0.0,0.72,0.0,25.7,55.7,55.5,0.0
3,10,6,0.7666666666666667,0.0,0.0,0.0,0.7666666666666667,0.0,31.2,61.2,56.0,0.0
4,10,7,0.71,0.0,0.0,0.0,0.71,0.0,29.6,59.6,56.0,0.0
5,10,7,0.45,0.0,0.0,0.0,0.45,0.0,16.6,46.6,38.0,0.0
6,10,7,0.5333333333333333,0.0,0.0,0.0,0.5333333333333333,0.0,20.2,50.2,46.5,0.0
7,10,6,0.8899999999999999,0.0,0.0,0.0,0.8899999999999999,0.0,42.2,72.2,71.0,0.0
8,10,5,0.9100000000000001,0.0,0.0,0.0,0.9100000000000001,0.0,40.8,70.8,63.5,0.0
9,10,7,0.9033333333333333,0.0,0.0,0.0,0.9033333333333333,0.0,35.4,65.4,56.0,0.0
10,10,7,0.7666666666666666,0.0,0.0,0.0,0.7666666666666666,0.0,32.2,62.2,55.5,0.0
11,10,6,0.8800000000000001,0.0,0.0,0.0,0.8800000000000001,0.0,33.5,63.5,56.0,0.0
12,10,6,0.6866666666666666,0.0,0.0,0.0,0.6866666666666666,0.0,23.6,53.6,55.0,0.0
13,10,8,0.53,0.0,0.0,0.0,0.53,0.0,20.0,50.0,46.5,0.0
14,10,5,0.8066666666666666,0.0,0.0,0.0,0.8066666666666666,0.0,28.6,58.6,55.5,0.0
15,10,8,0.8433333333333334,0.0,0.0,0.0,0.8433333333333334,0.0,35.6,65.6,56.0,0.0
16,10,8,0.5733333333333334,0.0,0.0,0.0,0.5733333333333334,0.0,21.4,51.4,53.0,0.0
17,10,6,0.6699999999999999,0.0,0.0,0.0,0.6699999999999999,0.0,26.2,56.2,53.0,0.0
18,10,7,0.7433333333333334,0.0,0.0,0.0,0.7433333333333334,0.0,28.3,58.3,55.0,0.0
19,10,7,0.5333333333333334,0.0,0.0,0.0,0.5333333333333334,0.0,25.2,55.2,45.5,0.0
20,10,6,0.5700000000000001,0.0,0.0,0.0,0.5700000000000001,0.0,18.2,48.2,54.5,0.0
21,10,7,0.6566666666666667,0.0,0.0,0.0,0.6566666666666667,0.0,27.0,57.0,55.0,0.0
22,10,6,0.8300000000000001,0.0,0.0,0.0,0.8300000000000001,0.0,28.2,58.2,56.0,0.0
23,10,7,0.75,0.0,0.0,0.0,0.75,0.0,30.7,60.7,55.5,0.0
24,10,5,0.65,0.0,0.0,0.0,0.65,0.0,28.8,58.8,54.5,0.0
25,10,6,0.6233333333333333,0.0,0.0,0.0,0.6233333333333333,0.0,27.1,57.1,56.0,0.0
26,10,7,0.5166666666666667,0.0,0.0,0.0,0.5166666666666667,0.0,19.6,49.6,45.5,0.0
27,10,6,0.7166666666666666,0.0,0.0,0.0,0.7166666666666666,0.0,27.7,57.7,55.0,0.0
28,10,6,0.5599999999999999,0.0,0.0,0.0,0.5599999999999999,0.0,22.9,52.9,45.5,0.0
29,10,6,0.7366666666666667,0.0,0.0,0.0,0.7366666666666667,0.0,29.2,59.2,56.0,0.0
30,10,6,0.8,0.0,0.0,0.0,0.8,0.0,36.1,66.1,55.5,0.0
31,10,6,0.7233333333333334,0.0,0.0,0.0,0.7233333333333334,0.0,29.0,59.0,56.0,0.0
32,10,7,0.6866666666666666,0.0,0.0,0.0,0.6866666666666666,0.0,24.8,54.8,54.0,0.0
33,10,7,0.7633333333333333,0.0,0.0,0.0,0.7633333333333333,0.0,27.1,57.1,56.0,0.0
34,10,7,0.5833333333333334,0.0,0.0,0.0,0.5833333333333334,0.0,21.7,51.7,54.0,0.0
35,10,6,0.6766666666666667,0.0,0.0,0.0,0.6766666666666667,0.0,21.4,51.4,55.5,0.0
36,10,7,0.6933333333333332,0.0,0.0,0.0,0.6933333333333332,0.0,32.9,62.9,55.5,0.0
37,10,7,0.49333333333333335,0.0,0.0,0.0,0.49333333333333335,0.0,17.9,47.9,46.5,0.0
38,10,6,0.89,0.0,0.0,0.0,0.89,0.0,35.8,65.8,56.0,0.0
39,10,7,0.7766666666666666,0.0,0.0,0.0,0.7766666666666666,0.0,31.6,61.6,56.0,0.0
40,10,6,0.8266666666666668,0.0,0.0,0.0,0.8266666666666668,0.0,33.8,63.8,56.0,0.0
41,10,7,0.7566666666666666,0.0,0.0,0.0,0.7566666666666666,0.0,32.8,62.8,56.0,0.0
42,10,7,0.5833333333333333,0.0,0.0,0.0,0.5833333333333333,0.0,23.5,53.5,54.0,0.0
43,10,6,0.7233333333333334,0.0,0.0,0.0,0.7233333333333334,0.0,30.9,60.9,56.0,0.0
44,10,6,0.64,0.0,0.0,0.0,0.64,0.0,22.3,52.3,53.0,0.0
45,10,6,0.7533333333333333,0.0,0.0,0.0,0.7533333333333333,0.0,28.7,58.7,56.0,0.0
46,10,7,0.8200000000000001,0.0,0.0,0.0,0.8200000000000001,0.0,28.8,58.8,56.0,0.0
47,10,7,0.6966666666666667,0.0,0.0,0.0,0.6966666666666667,0.0,32.2,62.2,63.5,0.0
48,10,8,0.6633333333333333,0.0,0.0,0.0,0.6633333333333333,0.0,27.1,57.1,56.0,0.0
49,10,6,0.8733333333333334,0.0,0.0,0.0,0.8733333333333334,0.0,33.4,63.4,55.0,0.0
50,10,5,0.64,0.0,0.0,0.0,0.64,0.0,22.5,52.5,53.0,0.0
51,10,6,0.8300000000000001,0.0,0.0,0.0,0.8300000000000001,0.0,33.1,63.1,56.0,0.0
52,10,5,0.74,0.0,0.0,0.0,0.74,0.0,32.3,62.3,56.0,0.0
53,10,7,0.8166666666666668,0.0,0.0,0.0,0.8166666666666668,0.0,28.6,58.6,56.0,0.0
54,10,7,0.7333333333333334,0.0,0.0,0.0,0.7333333333333334,0.0,32.2,62.2,56.0,0.0
55,10,7,0.5700000000000001,0.0,0.0,0.0,0.5700000000000001,0.0,21.3,51.3,53.0,0.0
56,10,5,0.6466666666666667,0.0,0.0,0.0,0.6466666666666667,0.0,19.4,49.4,55.5,0.0
57,10,8,0.7366666666666666,0.0,0.0,0.0,0.7366666666666666,0.0,27.4,57.4,55.5,0.0
58,10,6,0.7333333333333333,0.0,0.0,0.0,0.7333333333333333,0.0,35.2,65.2,63.5,0.0
59,10,6,0.6533333333333333,0.0,0.0,0.0,0.6533333333333333,0.0,24.8,54.8,54.5,0.0
60,10,7,0.7266666666666667,0.0,0.0,0.0,0.7266666666666667,0.0,32.1,62.1,56.0,0.0
61,10,6,0.7866666666666667,0.0,0.0,0.0,0.7866666666666667,0.0,36.9,66.9,63.5,0.0
62,10,7,0.5133333333333333,0.0,0.0,0.0,0.5133333333333333,0.0,19.5,49.5,45.5,0.0
63,10,7,0.8099999999999999,0.0,0.0,0.0,0.8099999999999999,0.0,37.6,67.6,63.5,0.0
64,10,6,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,24.1,54.1,53.0,0.0
65,10,7,0.7499999999999999,0.0,0.0,0.0,0.7499999999999999,0.0,29.6,59.6,54.0,0.0
66,10,5,0.8666666666666668,0.0,0.0,0.0,0.8666666666666668,0.0,41.0,71.0,73.0,0.0
67,10,6,0.78,0.0,0.0,0.0,0.78,0.0,30.6,60.6,54.5,0.0
68,10,6,0.5700000000000001,0.0,0.0,0.0,0.5700000000000001,0.0,20.2,50.2,46.5,0.0
69,10,7,0.7733333333333332,0.0,0.0,0.0,0.7733333333333332,0.0,33.3,63.3,55.5,0.0
70,10,5,0.35,0.0,0.0,0.0,0.35,0.0,10.5,40.5,38.0,0.0
71,10,9,0.7333333333333334,0.0,0.0,0.0,0.7333333333333334,0.0,29.2,59.2,55.5,0.0
72,10,7,0.6766666666666666,0.0,0.0,0.0,0.6766666666666666,0.0,29.5,59.5,54.5,0.0
73,10,8,0.7033333333333334,0.0,0.0,0.0,0.7033333333333334,0.0,31.4,61.4,55.5,0.0
74,10,7,0.76,0.0,0.0,0.0,0.76,0.0,30.0,60.0,56.0,0.0
75,10,6,0.7233333333333334,0.0,0.0,0.0,0.7233333333333334,0.0,31.8,61.8,56.0,0.0
76,10,6,0.7766666666666666,0.0,0.0,0.0,0.7766666666666666,0.0,29.7,59.7,56.0,0.0
77,10,6,0.6366666666666667,0.0,0.0,0.0,0.6366666666666667,0.0,25.3,55.3,54.5,0.0
78,10,5,0.7633333333333333,0.0,0.0,0.0,0.7633333333333333,0.0,29.1,59.1,55.5,0.0
79,10,6,0.8366666666666667,0.0,0.0,0.0,0.8366666666666667,0.0,30.3,60.3,56.0,0.0
80,10,6,0.6333333333333334,0.0,0.0,0.0,0.6333333333333334,0.0,21.2,51.2,54.0,0.0
81,10,7,0.6266666666666666,0.0,0.0,0.0,0.6266666666666666,0.0,26.1,56.1,54.5,0.0
82,10,7,0.6466666666666667,0.0,0.0,0.0,0.6466666666666667,0.0,29.6,59.6,56.0,0.0
83,10,7,0.63,0.0,0.0,0.0,0.63,0.0,29.1,59.1,54.0,0.0
84,10,7,0.7633333333333334,0.0,0.0,0.0,0.7633333333333334,0.0,33.2,63.2,56.0,0.0
85,10,7,0.45999999999999996,0.0,0.0,0.0,0.45999999999999996,0.0,18.0,48.0,37.5,0.0
86,10,7,0.6200000000000001,0.0,0.0,0.0,0.6200000000000001,0.0,24.7,54.7,56.0,0.0
87,10,6,0.5266666666666667,0.0,0.0,0.0,0.5266666666666667,0.0,18.8,48.8,53.0,0.0
88,10,7,0.7100000000000001,0.0,0.0,0.0,0.7100000000000001,0.0,30.5,60.5,55.5,0.0
89,10,8,0.6866666666666666,0.0,0.0,0.0,0.6866666666666666,0.0,28.9,58.9,54.0,0.0
90,10,6,0.79,0.0,0.0,0.0,0.79,0.0,33.9,63.9,56.0,0.0
91,10,6,0.8866666666666667,0.0,0.0,0.0,0.8866666666666667,0.0,45.9,75.9,90.0,0.0
92,10,7,0.77,0.0,0.0,0.0,0.77,0.0,31.5,61.5,56.0,0.0
93,10,6,0.7833333333333333,0.0,0.0,0.0,0.7833333333333333,0.0,27.7,57.7,54.0,0.0
94,10,6,0.7166666666666666,0.0,0.0,0.0,0.7166666666666666,0.0,30.7,60.7,56.0,0.0
95,10,7,0.54,0.0,0.0,0.0,0.54,0.0,19.3,49.3,54.0,0.0
96,10,8,0.6733333333333335,0.0,0.0,0.0,0.6733333333333335,0.0,27.3,57.3,54.0,0.0
97,10,6,0.61,0.0,0.0,0.0,0.61,0.0,30.6,60.6,54.5,0.0
98,10,5,0.47333333333333333,0.0,0.0,0.0,0.47333333333333333,0.0,17.2,47.2,47.0,0.0
99,10,6,0.73,0.0,0.0,0.0,0.73,0.0,32.3,62.3,56.0,0.0
100,10,5,0.74,0.0,0.0,0.0,0.74,0.0,37.5,67.5,73.0,0.0
101,10,8,0.78,0.0,0.0,0.0,0.78,0.0,31.7,61.7,56.0,0.0
102,10,8,0.6633333333333333,0.0,0.0,0.0,0.6633333333333333,0.0,24.0,54.0,55.0,0.0
103,10,5,0.8733333333333334,0.0,0.0,0.0,0.8733333333333334,0.0,41.6,71.6,71.0,0.0
104,10,7,0.5599999999999999,0.0,0.0,0.0,0.5599999999999999,0.0,19.0,49.0,46.5,0.0
105,10,8,0.6933333333333334,0.0,0.0,0.0,0.6933333333333334,0.0,31.1,61.1,55.5,0.0
106,10,7,0.6266666666666667,0.0,0.0,0.0,0.6266666666666667,0.0,21.8,51.8,53.0,0.0
