family,candidate_id,reference_type,cutoff,m,n,selection_eligible,engine_id,failure_cycle,first_satisfaction_cycle,tau,missed,trigger_at_failure_only,lead_time,late_delay,early_burden,late_normalized,early_normalized_uncapped,early_normalized_for_cost,miss_component,late_component,early_component,total_cost,first_trigger_while_healthy,n_cycle_gaps
lof,lof_k50,pooled,0.99,5,10,True,19,158,105.0,105.0,False,False,53.0,0,23,0.0,0.7666666666666667,0.7666666666666667,0.0,0.0,0.7666666666666667,0.7666666666666667,False,0
lof,lof_k50,pooled,0.99,5,10,True,23,168,130.0,130.0,False,False,38.0,0,8,0.0,0.2666666666666666,0.2666666666666666,0.0,0.0,0.2666666666666666,0.2666666666666666,False,0
lof,lof_k50,pooled,0.99,5,10,True,32,191,135.0,135.0,False,False,56.0,0,26,0.0,0.8666666666666667,0.8666666666666667,0.0,0.0,0.8666666666666667,0.8666666666666667,False,0
lof,lof_k50,pooled,0.99,5,10,True,43,207,177.0,177.0,False,False,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
lof,lof_k50,pooled,0.99,5,10,True,56,275,185.0,185.0,False,False,90.0,0,60,0.0,2.0,1.0,0.0,0.0,1.0,1.0,False,0
lof,lof_k50,pooled,0.99,5,10,True,70,137,100.0,100.0,False,False,37.0,0,7,0.0,0.2333333333333333,0.2333333333333333,0.0,0.0,0.2333333333333333,0.2333333333333333,False,0
lof,lof_k50,pooled,0.99,5,10,True,71,208,153.0,153.0,False,False,55.0,0,25,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,False,0
lof,lof_k50,pooled,0.99,5,10,True,73,213,122.0,122.0,False,False,91.0,0,61,0.0,2.033333333333333,1.0,0.0,0.0,1.0,1.0,False,0
lof,lof_k50,pooled,0.99,5,10,True,84,267,196.0,196.0,False,False,71.0,0,41,0.0,1.3666666666666667,1.0,0.0,0.0,1.0,1.0,False,0
lof,lof_k50,pooled,0.99,5,10,True,97,202,146.0,146.0,False,False,56.0,0,26,0.0,0.8666666666666667,0.8666666666666667,0.0,0.0,0.8666666666666667,0.8666666666666667,False,0
