operational_priority,engine_id,current_cycle,predicted_RUL_cycles,RUL_lower_cycles,RUL_upper_cycles,failure_probability_10_cycles,classification_decision_h10,failure_probability_20_cycles,classification_decision_h20,failure_probability_30_cycles,classification_decision_h30,anomaly_percentile,persistent_anomaly_alert,recommendation,primary_reason_code,all_triggered_reason_codes,recommendation_rank,primary_reason,recommended_action
1,82,194,5.429851190476192,0.0,25.389200396825352,0.9966881798427212,1,0.99999954978203,1,0.9999996306957496,1,1.0,1,STOP,CLASSIFICATION_H10_POSITIVE,CLASSIFICATION_H10_POSITIVE|REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,2,High frozen probability of failure within 10 cycles,Stop operation and initiate urgent maintenance review.
2,94,333,6.928708333333332,0.0,26.88805753968249,0.8982881521679218,1,0.999791856850142,1,0.9998538350299708,1,1.0,1,STOP,CLASSIFICATION_H10_POSITIVE,CLASSIFICATION_H10_POSITIVE|REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,2,High frozen probability of failure within 10 cycles,Stop operation and initiate urgent maintenance review.
3,99,289,7.419424603174599,0.0,27.37877380952376,0.9948798551577696,1,0.999969909501281,1,0.9999894370451284,1,1.0,1,STOP,CLASSIFICATION_H10_POSITIVE,CLASSIFICATION_H10_POSITIVE|REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,2,High frozen probability of failure within 10 cycles,Stop operation and initiate urgent maintenance review.
4,46,180,8.376545634920637,0.0,28.3358948412698,0.9977052525748072,1,0.9999997372469428,1,0.9999998838721068,1,1.0,1,STOP,CLASSIFICATION_H10_POSITIVE,CLASSIFICATION_H10_POSITIVE|REGRESSION_POINT_RUL_LE_10|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,2,High frozen probability of failure within 10 cycles,Stop operation and initiate urgent maintenance review.
5,39,310,10.69570238095238,0.0,30.65505158730154,0.8320646143779559,1,0.9994786428913004,1,0.9995393635743642,1,1.0,1,STOP,CLASSIFICATION_H10_POSITIVE,CLASSIFICATION_H10_POSITIVE|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,2,High frozen probability of failure within 10 cycles,Stop operation and initiate urgent maintenance review.
6,24,475,11.02119047619048,0.0,30.98053968253964,0.3186447645780913,1,0.9505048106769656,1,0.9949710860150556,1,1.0,1,STOP,CLASSIFICATION_H10_POSITIVE,CLASSIFICATION_H10_POSITIVE|CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,2,High frozen probability of failure within 10 cycles,Stop operation and initiate urgent maintenance review.
7,50,147,14.098136904761905,0.0,34.05748611111106,0.0341652225309929,0,0.5896584515139942,1,0.8444600908677173,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
8,26,130,14.520773809523808,0.0,34.48012301587297,0.0581328456872521,0,0.9330932791509764,1,0.9697216005800124,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
9,21,263,14.915202380952378,0.0,34.87455158730154,0.0012654386784177,0,0.9580746960835618,1,0.998041228530848,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
10,92,266,14.96061111111111,0.0,34.919960317460266,0.0599008871676613,0,0.996207299049095,1,0.9997068428736215,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
