engine_id,miss,lead_time,late_delay,early_burden,cost
1,0,69.0,0.0,39.0,39.0
2,1,,30.0,0.0,250.0
3,0,89.0,0.0,59.0,59.0
4,1,,30.0,0.0,250.0
5,0,236.0,0.0,206.0,206.0
6,1,,30.0,0.0,250.0
7,1,,30.0,0.0,250.0
8,1,,30.0,0.0,250.0
9,1,,30.0,0.0,250.0
10,1,,30.0,0.0,250.0
11,1,,30.0,0.0,250.0
12,1,,30.0,0.0,250.0
13,1,,30.0,0.0,250.0
14,1,,30.0,0.0,250.0
15,1,,30.0,0.0,250.0
16,0,179.0,0.0,149.0,149.0
17,1,,30.0,0.0,250.0
18,0,365.0,0.0,335.0,335.0
19,1,,30.0,0.0,250.0
20,0,72.0,0.0,42.0,42.0
21,0,278.0,0.0,248.0,248.0
22,1,,30.0,0.0,250.0
23,0,97.0,0.0,67.0,67.0
24,0,107.0,0.0,77.0,77.0
25,1,,30.0,0.0,250.0
26,0,14.0,16.0,0.0,80.0
27,1,,30.0,0.0,250.0
28,1,,30.0,0.0,250.0
29,1,,30.0,0.0,250.0
30,0,419.0,0.0,389.0,389.0
31,1,,30.0,0.0,250.0
32,1,,30.0,0.0,250.0
33,1,,30.0,0.0,250.0
34,1,,30.0,0.0,250.0
35,1,,30.0,0.0,250.0
36,1,,30.0,0.0,250.0
37,1,,30.0,0.0,250.0
38,1,,30.0,0.0,250.0
39,0,315.0,0.0,285.0,285.0
40,0,66.0,0.0,36.0,36.0
41,1,,30.0,0.0,250.0
42,1,,30.0,0.0,250.0
43,1,,30.0,0.0,250.0
44,1,,30.0,0.0,250.0
45,1,,30.0,0.0,250.0
46,0,35.0,0.0,5.0,5.0
47,1,,30.0,0.0,250.0
48,1,,30.0,0.0,250.0
49,0,343.0,0.0,313.0,313.0
50,0,20.0,10.0,0.0,50.0
51,1,,30.0,0.0,250.0
52,1,,30.0,0.0,250.0
53,1,,30.0,0.0,250.0
54,1,,30.0,0.0,250.0
55,1,,30.0,0.0,250.0
56,1,,30.0,0.0,250.0
57,1,,30.0,0.0,250.0
58,1,,30.0,0.0,250.0
59,1,,30.0,0.0,250.0
60,1,,30.0,0.0,250.0
61,1,,30.0,0.0,250.0
62,0,279.0,0.0,249.0,249.0
63,1,,30.0,0.0,250.0
64,0,296.0,0.0,266.0,266.0
65,1,,30.0,0.0,250.0
66,1,,30.0,0.0,250.0
67,1,,30.0,0.0,250.0
68,0,288.0,0.0,258.0,258.0
69,1,,30.0,0.0,250.0
70,1,,30.0,0.0,250.0
71,0,106.0,0.0,76.0,76.0
72,0,57.0,0.0,27.0,27.0
73,1,,30.0,0.0,250.0
74,1,,30.0,0.0,250.0
75,0,45.0,0.0,15.0,15.0
76,1,,30.0,0.0,250.0
77,0,95.0,0.0,65.0,65.0
78,0,59.0,0.0,29.0,29.0
79,0,20.0,10.0,0.0,50.0
80,0,215.0,0.0,185.0,185.0
81,0,34.0,0.0,4.0,4.0
82,0,47.0,0.0,17.0,17.0
83,1,,30.0,0.0,250.0
84,1,,30.0,0.0,250.0
85,1,,30.0,0.0,250.0
86,0,32.0,0.0,2.0,2.0
87,1,,30.0,0.0,250.0
88,1,,30.0,0.0,250.0
89,0,158.0,0.0,128.0,128.0
90,1,,30.0,0.0,250.0
91,1,,30.0,0.0,250.0
92,0,70.0,0.0,40.0,40.0
93,1,,30.0,0.0,250.0
94,0,103.0,0.0,73.0,73.0
95,1,,30.0,0.0,250.0
96,0,468.0,0.0,438.0,438.0
97,1,,30.0,0.0,250.0
98,0,39.0,0.0,9.0,9.0
99,0,65.0,0.0,35.0,35.0
100,0,272.0,0.0,242.0,242.0
