family,candidate_id,reference_type,cutoff,m,n,selection_eligible,engine_id,failure_cycle,tau,missed,trigger_at_failure_only,lead_time,late_delay,early_burden,late_normalized,early_normalized_uncapped,early_normalized_for_cost,miss_component,late_component,early_component,total_cost,first_trigger_while_healthy,n_cycle_gaps
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,15,202,21.0,False,False,181.0,0.0,151.0,0.0,5.033333333333333,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,21,220,154.0,False,False,66.0,0.0,36.0,0.0,1.2,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,52,222,166.0,False,False,56.0,0.0,26.0,0.0,0.8666666666666667,0.8666666666666667,0.0,0.0,0.8666666666666667,0.8666666666666667,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,61,199,117.0,False,False,82.0,0.0,52.0,0.0,1.7333333333333334,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,72,232,157.0,False,False,75.0,0.0,45.0,0.0,1.5,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,75,259,200.0,False,False,59.0,0.0,29.0,0.0,0.9666666666666667,0.9666666666666667,0.0,0.0,0.9666666666666667,0.9666666666666667,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,83,181,113.0,False,False,68.0,0.0,38.0,0.0,1.2666666666666666,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,87,172,104.0,False,False,68.0,0.0,38.0,0.0,1.2666666666666666,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,92,158,3.0,False,False,155.0,0.0,125.0,0.0,4.166666666666667,1.0,0.0,0.0,1.0,1.0,True,0
iforest,iforest_n200_ms_0p5,pooled,0.9,2,3,True,93,171,123.0,False,False,48.0,0.0,18.0,0.0,0.6,0.6,0.0,0.0,0.6,0.6,False,0
