draw_id,n_sampled_engines,n_unique_engines,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_lead_time_if_alerted,median_lead_time_if_alerted,healthy_first_trigger_fraction
0,10,6,0.5566666666666666,0.0,0.0,0.0,0.5566666666666666,50.6,45.5,0.0
1,10,6,0.4800000000000001,0.0,0.0,0.13333333333333333,0.3466666666666666,39.6,39.5,0.0
2,10,8,0.5533333333333333,0.0,0.0,0.13333333333333333,0.41999999999999993,41.8,44.0,0.0
3,10,6,0.47333333333333333,0.0,0.0,0.0,0.47333333333333333,46.8,42.0,0.0
4,10,8,0.5433333333333332,0.0,0.0,0.13333333333333333,0.41,42.8,40.5,0.0
5,10,7,0.5133333333333333,0.0,0.0,0.0,0.5133333333333333,46.7,46.0,0.0
6,10,5,0.8,0.0,0.0,0.4,0.4,40.9,45.0,0.0
7,10,7,0.42666666666666664,0.0,0.0,0.0,0.42666666666666664,42.8,44.5,0.0
8,10,8,0.56,0.0,0.0,0.13333333333333333,0.42666666666666664,43.3,42.0,0.0
9,10,6,0.3633333333333333,0.0,0.0,0.0,0.3633333333333333,40.9,42.0,0.0
10,10,6,0.42333333333333334,0.0,0.0,0.0,0.42333333333333334,44.0,40.5,0.0
11,10,6,0.4533333333333333,0.0,0.0,0.0,0.4533333333333333,44.9,44.0,0.0
12,10,6,0.47333333333333333,0.0,0.0,0.0,0.47333333333333333,45.5,43.0,0.0
13,10,6,0.5566666666666666,0.0,0.0,0.0,0.5566666666666666,49.3,44.5,0.0
14,10,5,0.63,0.0,0.0,0.26666666666666666,0.36333333333333334,41.9,37.0,0.0
15,10,8,0.4533333333333333,0.0,0.0,0.13333333333333333,0.32,38.8,40.5,0.0
16,10,7,0.65,0.0,0.0,0.13333333333333333,0.5166666666666666,46.0,46.0,0.0
17,10,7,0.5566666666666666,0.0,0.0,0.13333333333333333,0.42333333333333334,43.2,41.5,0.0
18,10,6,0.5733333333333333,0.0,0.0,0.13333333333333333,0.43999999999999995,42.4,46.0,0.0
19,10,5,0.6633333333333332,0.0,0.0,0.26666666666666666,0.3966666666666666,41.6,42.0,0.0
20,10,6,0.5333333333333333,0.0,0.0,0.26666666666666666,0.26666666666666666,36.4,37.0,0.0
21,10,5,0.5433333333333332,0.0,0.0,0.13333333333333333,0.41,44.1,37.0,0.0
22,10,7,0.4133333333333334,0.0,0.0,0.0,0.4133333333333334,42.4,44.0,0.0
23,10,6,0.48666666666666664,0.0,0.0,0.0,0.48666666666666664,45.9,43.5,0.0
24,10,6,0.5733333333333334,0.0,0.0,0.0,0.5733333333333334,51.1,45.5,0.0
25,10,5,0.5033333333333333,0.0,0.0,0.0,0.5033333333333333,45.1,47.0,0.0
26,10,8,0.59,0.0,0.0,0.26666666666666666,0.32333333333333336,38.1,41.5,0.0
27,10,6,0.71,0.0,0.0,0.13333333333333333,0.5766666666666667,50.4,49.0,0.0
28,10,6,0.5733333333333333,0.0,0.0,0.13333333333333333,0.44000000000000006,42.4,45.5,0.0
29,10,7,0.5333333333333333,0.0,0.0,0.13333333333333333,0.39999999999999997,42.5,43.0,0.0
30,10,5,0.5366666666666666,0.0,0.0,0.0,0.5366666666666666,47.4,45.0,0.0
31,10,5,0.3633333333333333,0.0,0.0,0.13333333333333333,0.22999999999999998,36.1,37.0,0.0
32,10,7,0.62,0.0,0.0,0.26666666666666666,0.35333333333333333,40.3,41.5,0.0
33,10,6,0.6133333333333332,0.0,0.0,0.26666666666666666,0.3466666666666666,38.8,43.0,0.0
34,10,5,0.6333333333333332,0.0,0.0,0.4,0.2333333333333333,34.6,35.5,0.0
35,10,8,0.7033333333333334,0.0,0.0,0.26666666666666666,0.4366666666666667,44.1,43.0,0.0
36,10,8,0.4666666666666667,0.0,0.0,0.0,0.4666666666666667,45.3,43.0,0.0
37,10,7,0.43666666666666665,0.0,0.0,0.0,0.43666666666666665,44.4,43.5,0.0
38,10,5,0.7666666666666666,0.0,0.0,0.26666666666666666,0.5,47.3,44.5,0.0
39,10,7,0.4533333333333333,0.0,0.0,0.0,0.4533333333333333,44.9,44.5,0.0
40,10,7,0.8033333333333331,0.0,0.0,0.4,0.4033333333333333,41.0,44.5,0.0
41,10,6,0.5,0.0,0.0,0.13333333333333333,0.36666666666666664,41.5,41.5,0.0
42,10,8,0.5566666666666666,0.0,0.0,0.13333333333333333,0.42333333333333334,43.2,42.0,0.0
43,10,8,0.67,0.0,0.0,0.13333333333333333,0.5366666666666667,47.9,46.0,0.0
