family,candidate_id,reference_type,cutoff,m,n,selection_eligible,engine_id,failure_cycle,tau,missed,trigger_at_failure_only,lead_time,late_delay,early_burden,late_normalized,early_normalized_uncapped,early_normalized_for_cost,miss_component,late_component,early_component,total_cost,first_trigger_while_healthy,n_cycle_gaps
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,15,202,129.0,False,False,73.0,0.0,43.0,0.0,1.4333333333333333,1.0,0.0,0.0,1.0,1.0,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,21,220,173.0,False,False,47.0,0.0,17.0,0.0,0.5666666666666667,0.5666666666666667,0.0,0.0,0.5666666666666667,0.5666666666666667,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,52,222,190.0,False,False,32.0,0.0,2.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,61,199,154.0,False,False,45.0,0.0,15.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,72,232,183.0,False,False,49.0,0.0,19.0,0.0,0.6333333333333333,0.6333333333333333,0.0,0.0,0.6333333333333333,0.6333333333333333,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,75,259,215.0,False,False,44.0,0.0,14.0,0.0,0.4666666666666667,0.4666666666666667,0.0,0.0,0.4666666666666667,0.4666666666666667,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,83,181,142.0,False,False,39.0,0.0,9.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,87,172,135.0,False,False,37.0,0.0,7.0,0.0,0.23333333333333334,0.23333333333333334,0.0,0.0,0.23333333333333334,0.23333333333333334,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,92,158,116.0,False,False,42.0,0.0,12.0,0.0,0.4,0.4,0.0,0.0,0.4,0.4,False,0
iforest,iforest_n200_ms_0p5,pooled,0.99,5,10,True,93,171,149.0,False,False,22.0,8.0,0.0,0.26666666666666666,0.0,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,False,0
