feature,feature_group,mean,standard_deviation,minimum,maximum,range,n_unique,constant,near_constant,spearman_RUL,absolute_spearman_RUL
op_setting_1,operating_setting,-1.0582359075690212e-05,0.002181432202171008,-0.0086,0.008,0.0166,155,False,False,-0.0020274465148072502,0.0020274465148072502
op_setting_2,operating_setting,2.530325484384434e-06,0.00029371944086135535,-0.0006,0.0006,0.0012,13,False,False,-0.004490824137693337,0.004490824137693337
op_setting_3,operating_setting,100.0,0.0,100.0,100.0,0.0,1,True,True,0.0,0.0
sensor_1,sensor,518.67,0.0,518.67,518.67,0.0,1,True,True,0.0,0.0
sensor_2,sensor,642.4477792414513,0.5219350218986212,640.84,645.11,4.269999999999982,329,False,False,-0.6450308938887798,0.6450308938887798
sensor_3,sensor,1587.9833959053735,6.836039776529874,1564.3,1615.39,51.090000000000146,3194,False,False,-0.6708764116155062,0.6708764116155062
sensor_4,sensor,1404.2688264998078,9.770973884414085,1377.06,1441.16,64.10000000000014,4166,False,False,-0.7218424711314285,0.7218424711314285
sensor_5,sensor,14.620000000000001,1.7763568394002505e-15,14.62,14.62,0.0,1,True,True,0.0,0.0
sensor_6,sensor,21.595434985454748,0.018789931211074445,21.45,21.61,0.16000000000000014,17,False,False,-0.2544819095408915,0.2544819095408915
sensor_7,sensor,555.1514885559031,3.4442797269048873,549.61,570.23,20.620000000000005,1774,False,False,-0.08848953061008134,0.08848953061008134
sensor_8,sensor,2388.070440199792,0.15792107976761077,2386.9,2388.6,1.699999999999818,157,False,False,-0.728965449761665,0.728965449761665
sensor_9,sensor,9063.9725226412,19.545069731031923,9021.05,9234.35,213.3000000000011,6245,False,False,-0.5879255620594728,0.5879255620594728
sensor_10,sensor,1.3012371699873762,0.003483742427804473,1.29,1.32,0.030000000000000027,4,False,False,-0.43018120866837334,0.43018120866837334
sensor_11,sensor,47.41006970744827,0.30145562400997616,46.69,48.44,1.75,168,False,False,-0.7537509580942598,0.7537509580942598
sensor_12,sensor,523.0594341072507,3.2625037256095357,517.77,537.4,19.629999999999995,1696,False,False,-0.10204673539399212,0.10204673539399212
sensor_13,sensor,2388.070383116527,0.15782384582963874,2386.94,2388.61,1.6700000000000728,159,False,False,-0.7296770283722102,0.7296770283722102
sensor_14,sensor,8144.13132389264,16.108711057162242,8107.48,8290.55,183.0699999999997,5588,False,False,-0.4819548256638462,0.4819548256638462
sensor_15,sensor,8.395385251660354,0.060233348443617926,8.1563,8.5705,0.41419999999999924,2966,False,False,-0.08487383254691618,0.08487383254691618
sensor_16,sensor,0.030000000000000016,1.734723475976807e-17,0.03,0.03,0.0,1,True,True,0.0,0.0
sensor_17,sensor,392.5431143311927,1.7610243142946589,388.0,399.0,11.0,12,False,False,-0.6956725379665424,0.6956725379665424
sensor_18,sensor,2388.0,0.0,2388.0,2388.0,0.0,1,True,True,0.0,0.0
sensor_19,sensor,100.0,0.0,100.0,100.0,0.0,1,True,True,0.0,0.0
sensor_20,sensor,38.99167901641143,0.2476448524282065,38.17,39.85,1.6799999999999997,165,False,False,0.08214401831380654,0.08214401831380654
sensor_21,sensor,23.394820451177345,0.1484833157708018,22.8995,23.9154,1.015900000000002,5892,False,False,0.0814338582525296,0.0814338582525296
