sensor,life_bin,life_fraction_center,n_rows,median_standardized_value,q25_standardized_value,q75_standardized_value
sensor_11,0,0.025,941,-0.6968511804620294,-1.0285749634513695,-0.23243788427695805
sensor_11,1,0.075,905,-0.6636788021631025,-1.0285749634513695,-0.1992655059780311
sensor_11,2,0.125,906,-0.6968511804620294,-1.0617473417502963,-0.1992655059780311
sensor_11,3,0.175,903,-0.6305064238641755,-1.0285749634513695,-0.23243788427695805
sensor_11,4,0.225,906,-0.6305064238641755,-1.0285749634513695,-0.1992655059780311
sensor_11,5,0.275,913,-0.6305064238641755,-0.9954025851524425,-0.13292074938017723
sensor_11,6,0.325,909,-0.5641616672662981,-0.9954025851524425,-0.13292074938017723
sensor_11,7,0.375,904,-0.5144030998179077,-0.9290578285545651,-0.06657599278229981
sensor_11,8,0.425,909,-0.49781691066844425,-0.9622302068535156,-0.03340361448337287
sensor_11,9,0.475,893,-0.4646445323694937,-0.9290578285545651,0.03294114211450457
sensor_11,10,0.525,927,-0.36512739747271294,-0.8627130719567112,0.13245827701130894
sensor_11,11,0.575,900,-0.26561026257590853,-0.7300235587609799,0.23197541190808973
sensor_11,12,0.625,913,-0.16609312767910417,-0.6636788021631025,0.29832016850596715
sensor_11,13,0.675,906,-0.0002312361844459351,-0.49781691066844425,0.5305268165985029
sensor_11,14,0.725,903,0.16563065531023588,-0.29878264087483547,0.6963887080931611
sensor_11,15,0.775,910,0.3314925468048941,-0.06657599278229981,0.8622505995878429
sensor_11,16,0.825,912,0.6963887080931611,0.26514779020704027,1.0944572476803787
sensor_11,17,0.875,903,1.061284869381428,0.6963887080931611,1.4261810306697187
sensor_11,18,0.925,908,1.55887054386545,1.22714676087611,1.8905943268547665
sensor_11,19,0.975,948,2.1891457315451794,1.8905943268547665,2.4628178525113738
sensor_13,0,0.025,941,-0.3825981822285364,-0.6994070886225288,-0.06578927583742541
sensor_13,1,0.075,905,-0.3825981822285364,-0.6994070886225288,-0.06578927583742541
sensor_13,2,0.125,906,-0.3825981822285364,-0.6994070886225288,-0.06578927583742541
sensor_13,3,0.175,903,-0.31923640095146677,-0.6994070886225288,-0.06578927583742541
sensor_13,4,0.225,906,-0.31923640095146677,-0.636045307345459,-0.0024274945574744035
sensor_13,5,0.275,913,-0.31923640095146677,-0.6994070886225288,-0.0024274945574744035
sensor_13,6,0.325,909,-0.31923640095146677,-0.636045307345459,-0.0024274945574744035
sensor_13,7,0.375,904,-0.25587461967151576,-0.636045307345459,0.06093428671959525
sensor_13,8,0.425,909,-0.25587461967151576,-0.5726835260655081,0.06093428671959525
sensor_13,9,0.475,893,-0.19251283839444608,-0.5726835260655081,0.12429606799954626
sensor_13,10,0.525,927,-0.12915105711449507,-0.5093217447884384,0.12429606799954626
sensor_13,11,0.575,900,-0.12915105711449507,-0.44595996350848743,0.1876578492766159
sensor_13,12,0.625,913,-0.0024274945574744035,-0.31923640095146677,0.25101963055656695
sensor_13,13,0.675,906,0.06093428671959525,-0.25587461967151576,0.3777431931135876
sensor_13,14,0.725,903,0.1876578492766159,-0.06578927583742541,0.4727858650306328
sensor_13,15,0.775,910,0.3777431931135876,0.06093428671959525,0.6311903182276289
sensor_13,16,0.825,912,0.5678285369476779,0.3143814118336366,0.8212756620617193
sensor_13,17,0.875,903,0.8846374433416703,0.5678285369476779,1.2014463497356627
sensor_13,18,0.925,908,1.2648081310127324,0.8212756620617193,1.771702381240815
sensor_13,19,0.975,948,1.8984259437978357,1.0747227871757605,2.532043756582939
sensor_8,0,0.025,941,-0.38272407889161697,-0.6993379221718146,-0.06611023561429898
sensor_8,1,0.075,905,-0.38272407889161697,-0.6993379221718146,-0.06611023561429898
sensor_8,2,0.125,906,-0.38272407889161697,-0.6993379221718146,-0.06611023561429898
sensor_8,3,0.175,903,-0.38272407889161697,-0.6993379221718146,-0.002787466957107618
sensor_8,4,0.225,906,-0.3194013102373052,-0.6993379221718146,-0.002787466957107618
sensor_8,5,0.275,913,-0.3194013102373052,-0.6993379221718146,-0.002787466957107618
sensor_8,6,0.325,909,-0.3194013102373052,-0.6993379221718146,-0.002787466957107618
sensor_8,7,0.375,904,-0.25607854158011384,-0.6360151535175028,0.06053530169720415
sensor_8,8,0.425,909,-0.25607854158011384,-0.5726923848603115,0.06053530169720415
sensor_8,9,0.475,893,-0.1927557729258021,-0.5726923848603115,0.1238580703543955
sensor_8,10,0.525,927,-0.1927557729258021,-0.5093696162059996,0.1238580703543955
sensor_8,11,0.575,900,-0.12943300426861074,-0.4460468475488083,0.18718083900870727
sensor_8,12,0.625,913,-0.06611023561429898,-0.3194013102373052,0.25050360766589863
sensor_8,13,0.675,906,0.06053530169720415,-0.25607854158011384,0.3138263763202104
sensor_8,14,0.725,903,0.18718083900870727,-0.09777161994145486,0.4404719136317135
sensor_8,15,0.775,910,0.3771491449774017,0.06053530169720415,0.630440219600408
sensor_8,16,0.825,912,0.5671174509432166,0.3138263763202104,0.8204085255662229
sensor_8,17,0.875,903,0.8837312942234142,0.5671174509432166,1.2003451375036118
sensor_8,18,0.925,908,1.2636679061579235,0.8204085255662229,1.770250055403936
sensor_8,19,0.975,948,1.8968955927154392,1.0103768315349173,2.5301232792729547
