subset,task,model,MAE,RMSE,R2,PHM_mean,PR_AUC,F1,Brier,miss_rate,cost
FD001,RUL,window_gbr,4.8876773168083325,7.761658874871919,0.8307254554637081,0.929328674663776,,,,,
FD001,classification_h10,selected+Platt,,,,,0.745131650558713,0.4761904761904761,0.0006305610695045,,
FD001,classification_h20,selected+Platt,,,,,0.8597563361749903,0.6465753424657534,0.0027896595794191,,
FD001,classification_h30,selected+Platt,,,,,0.9301404282597824,0.6948257655755016,0.0058451508759122,,
FD001,anomaly,iforest,,,,,0.6018774646565281,,,0.72,197.65
FD001,anomaly,lof,,,,,0.2075476201708593,,,1.0,250.0
FD001,anomaly,ocsvm,,,,,0.3495084614134232,,,0.54,201.26
FD001,anomaly,pca,,,,,0.1421567483640765,,,0.73,218.64
FD003,RUL,window_gbr,3.5145861403445733,6.566498942971003,0.8414718091836526,0.7152331573263938,,,,,
FD003,classification_h10,selected+Platt,,,,,0.6619123715408545,0.5901639344262295,0.0006513961937821,,
FD003,classification_h20,selected+Platt,,,,,0.9320969912788868,0.6920821114369502,0.0017039675383799,,
FD003,classification_h30,selected+Platt,,,,,0.9361600158835434,0.787292817679558,0.0039264681439767,,
FD003,anomaly,iforest,,,,,0.568239983211015,,,0.64,205.88
FD003,anomaly,lof,,,,,0.2821349839210655,,,0.3,220.78
FD003,anomaly,ocsvm,,,,,0.1989193028531466,,,0.04,207.84
FD003,anomaly,pca,,,,,0.2191032259085158,,,0.31,212.67
FD004,RUL_bonus,condition_aware_rf,5.711454486911974,10.64044133714186,0.6181274700433247,3.0753668197117645,,,,,
