engine_id,role
1,train
2,val_tune
3,val_tune
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,val_calib
16,train
17,train
18,train
19,train
20,train
21,val_calib
22,val_tune
23,train
24,val_tune
25,train
26,train
27,train
28,train
29,train
30,val_tune
31,train
32,train
33,val_tune
34,train
35,train
36,train
37,train
38,val_tune
39,train
40,train
41,train
42,val_tune
43,train
44,train
45,train
46,train
47,train
48,train
49,val_tune
50,train
51,train
52,val_calib
53,val_tune
54,train
55,train
56,train
57,train
58,val_tune
59,val_tune
60,val_tune
61,val_calib
62,train
63,train
64,val_tune
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,val_calib
73,train
74,train
75,val_calib
76,val_tune
77,train
78,train
79,train
80,val_tune
81,train
82,train
83,val_calib
84,train
85,val_tune
86,train
87,val_calib
88,val_tune
89,train
90,train
91,train
92,val_calib
93,val_calib
94,train
95,val_tune
96,train
97,train
98,train
99,val_tune
100,train
